Date,Song Title,Artist,Album,Duration
2025-03-10,NINAO,GIMS,GIMS,2:47
2025-03-10,Mood,KeBlack,KeBlack,2:51
2025-03-10,CIEL,GIMS,GIMS,3:06
2025-03-10,Pélican,L2B,L2B,2:45
2025-03-10,Carré OK (feat. GIMS),Soolking,Soolking,2:40
2025-03-10,CARTIER SANTOS,SDM,SDM,3:03
2025-03-10,DIANA,GIMS,GIMS,2:19
2025-03-10,Run,Rim'K,Rim'K,2:59
2025-03-10,La Pluie,Franglish,Franglish,3:56
2025-03-10,SPIDER,GIMS,GIMS,3:08
2025-03-10,SOIS PAS TIMIDE,GIMS,GIMS,2:45
2025-03-10,Feel Good,Charlotte Cardin,Charlotte Cardin,2:43
2025-03-10,BABY,GIMS,GIMS,2:35
2025-03-10,ANXIETY (feat. Doechii),Sleepy Hallow,Sleepy Hallow,2:28
2025-03-10,Tacchini,Josas,Josas,2:36
2025-03-10,Pichichi,Josas,Josas,2:58
2025-03-10,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-10,APT.,ROSÉ,ROSÉ,2:49
2025-03-10,4 Kampé,Joé Dwèt Filé,Joé Dwèt Filé,3:34
2025-03-10,NANANI NANANA,Gazo,Gazo,3:37
2025-03-10,Messy,Lola Young,Lola Young,4:44
2025-03-10,Sous la lune,Jul,Jul,2:51
2025-03-10,POUR ELLE,SDM,SDM,2:59
2025-03-10,Anxiety,Doechii,Doechii,4:09
2025-03-10,Die With A Smile,Lady Gaga,Lady Gaga,4:11
