Date,Song Title,Artist,Album,Duration
2025-02-28,NOKIA,Drake,Drake,4:01
2025-02-28,SOMEBODY LOVES ME,PARTYNEXTDOOR,PARTYNEXTDOOR,3:02
2025-02-28,GIMME A HUG,Drake,Drake,3:13
2025-02-28,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-02-28,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-02-28,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-02-28,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-02-28,Doot Doot (6 7),Skrilla,Skrilla,2:29
2025-02-28,Little Things,Ella Mai,Ella Mai,2:52
2025-02-28,Revolving door,Tate McRae,Tate McRae,3:00
2025-02-28,BAILE INoLVIDABLE,Bad Bunny,Bad Bunny,6:07
2025-02-28,Residuals,Chris Brown,Chris Brown,3:35
2025-02-28,25,Rod Wave,Rod Wave,3:00
2025-02-28,squabble up,Kendrick Lamar,Kendrick Lamar,2:37
2025-02-28,Ms. Whitman,Bhad Bhabie,Bhad Bhabie,2:06
2025-02-28,Snooze,SZA,SZA,3:21
2025-02-28,Drugs Callin,Hurricane Wisdom,Hurricane Wisdom,2:36
2025-02-28,DtMF,Bad Bunny,Bad Bunny,3:57
2025-02-28,NUEVAYoL,Bad Bunny,Bad Bunny,3:03
2025-02-28,All The Stars,Kendrick Lamar,Kendrick Lamar,3:52
2025-02-28,Heart Of A Woman,Summer Walker,Summer Walker,2:51
2025-02-28,Timeless,The Weeknd,The Weeknd,4:16
2025-02-28,cLOUDs,J. Cole,J. Cole,4:02
2025-02-28,In A Minute,Lil Baby,Lil Baby,3:20
2025-02-28,Sports car,Tate McRae,Tate McRae,2:45
