Date,Song Title,Artist,Album,Duration
2025-03-29,Lilac,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:48
2025-03-29,Darling,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:40
2025-03-29,Soranji,Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:44
2025-03-29,Que Sera Sera,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:32
2025-03-29,Kaiju,sakanaction,sakanaction,4:12
2025-03-29,APT.,ROSÉ,ROSÉ,2:49
2025-03-29,Almond Chocolate,ILLIT,ILLIT,3:21
2025-03-29,Bokuno Koto,Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:21
2025-03-29,Kaiju no Hanauta,VAUNDY,VAUNDY,3:44
2025-03-29,Bitter Vacances,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:18
2025-03-29,Rock This Party,timelesz,timelesz,3:45
2025-03-29,Ao To Natsu,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:30
2025-03-29,Tenbyouno Uta (feat. Sonoko Inoue),Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:07
2025-03-29,Ikuokukonen,Omoinotake,Omoinotake,4:36
2025-03-29,Dance Hall,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:23
2025-03-29,Magic,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:23
2025-03-29,Can't we just be cute? -Kawaii Dakejya Damedesuka?,CUTIE STREET,CUTIE STREET,4:11
2025-03-29,Miss Luxury,YZERR,YZERR,4:33
2025-03-29,familie,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:42
2025-03-29,BOW AND ARROW,Kenshi Yonezu,Kenshi Yonezu,2:55
2025-03-29,Bling-Bang-Bang-Born,Creepy Nuts,Creepy Nuts,2:48
2025-03-29,Whiplash,aespa,aespa,3:03
2025-03-29,Start,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:31
2025-03-29,Otonoke,Creepy Nuts,Creepy Nuts,3:05
2025-03-29,Fujin,VAUNDY,VAUNDY,3:55
