Date,Song Title,Artist,Album,Duration
2025-03-29,Ordinary,Alex Warren,Alex Warren,3:06
2025-03-29,Just In Case,Morgan Wallen,Morgan Wallen,2:46
2025-03-29,NOKIA,Drake,Drake,4:01
2025-03-29,I'm A Little Crazy,Morgan Wallen,Morgan Wallen,3:19
2025-03-29,twilight zone,Ariana Grande,Ariana Grande,3:18
2025-03-29,I'm The Problem,Morgan Wallen,Morgan Wallen,2:57
2025-03-29,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-03-29,APT.,ROSÉ,ROSÉ,2:49
2025-03-29,Love Somebody,Morgan Wallen,Morgan Wallen,3:24
2025-03-29,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-29,Sports car,Tate McRae,Tate McRae,2:45
2025-03-29,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-29,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-29,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-29,Show Me Love,WizTheMc,WizTheMc,2:56
2025-03-29,I Had Some Help (feat. Morgan Wallen),Post Malone,Post Malone,2:58
2025-03-29,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-29,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-29,dandelion,Ariana Grande,Ariana Grande,3:24
2025-03-29,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-29,Anxiety,Doechii,Doechii,4:09
2025-03-29,Dark Thoughts,Lil Tecca,Lil Tecca,2:16
2025-03-29,warm,Ariana Grande,Ariana Grande,3:21
2025-03-29,DIE TRYING,PARTYNEXTDOOR,PARTYNEXTDOOR,3:15
2025-03-29,4 Kampé II,Joé Dwèt Filé,Joé Dwèt Filé,3:31
