Date,Song Title,Artist,Album,Duration
2025-03-29,Vanish Mode,Lil Durk,Lil Durk,2:03
2025-03-29,They Want To Be You (feat. Future),Lil Durk,Lil Durk,2:47
2025-03-29,Shaking When I Pray,Lil Durk,Lil Durk,3:02
2025-03-29,NOKIA,Drake,Drake,4:01
2025-03-29,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-29,SOMEBODY LOVES ME,PARTYNEXTDOOR,PARTYNEXTDOOR,3:02
2025-03-29,twilight zone,Ariana Grande,Ariana Grande,3:18
2025-03-29,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-03-29,Just In Case,Morgan Wallen,Morgan Wallen,2:46
2025-03-29,MUTT (CB REMIX),Leon Thomas,Leon Thomas,3:19
2025-03-29,GIMME A HUG,Drake,Drake,3:13
2025-03-29,FOMDJ,Playboi Carti,Playboi Carti,3:20
2025-03-29,dandelion,Ariana Grande,Ariana Grande,3:24
2025-03-29,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-29,RATHER LIE,Playboi Carti,Playboi Carti,3:29
2025-03-29,warm,Ariana Grande,Ariana Grande,3:21
2025-03-29,Anxiety,Doechii,Doechii,4:09
2025-03-29,Dark Thoughts,Lil Tecca,Lil Tecca,2:16
2025-03-29,I'm The Problem,Morgan Wallen,Morgan Wallen,2:57
2025-03-29,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-03-29,EVIL J0RDAN,Playboi Carti,Playboi Carti,3:03
2025-03-29,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-29,I'm A Little Crazy,Morgan Wallen,Morgan Wallen,3:19
2025-03-29,Ordinary,Alex Warren,Alex Warren,3:06
2025-03-29,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
