Date,Song Title,Artist,Album,Duration
2025-03-02,Balorda nostalgia,Olly,Olly,3:17
2025-03-02,LA CURA PER ME,Giorgia,Giorgia,3:35
2025-03-02,Incoscienti Giovani,Achille Lauro,Achille Lauro,3:24
2025-03-02,BATTITO,Fedez,Fedez,3:14
2025-03-02,Volevo essere un duro,Lucio Corsi,Lucio Corsi,3:05
2025-03-02,Dimenticarsi alle 7,Elodie,Elodie,3:34
2025-03-02,La Mia Parola (feat. Tormento),Shablo,Shablo,2:50
2025-03-02,CUORICINI,Coma_Cose,Coma_Cose,3:14
2025-03-02,fuorilegge,Rose Villain,Rose Villain,3:41
2025-03-02,il ritmo delle cose.,Rkomi,Rkomi,3:12
2025-03-02,La tana del granchio,Bresh,Bresh,3:29
2025-03-02,ANEMA E CORE,Serena Brancale,Serena Brancale,2:46
2025-03-02,CHIAMO IO CHIAMI TU,GAIA,GAIA,3:38
2025-03-02,Lentamente,Irama,Irama,3:26
2025-03-02,TU CON CHI FAI L'AMORE,The Kolors,The Kolors,3:27
2025-03-02,L'albero delle noci,Brunori Sas,Brunori Sas,3:56
2025-03-02,DAMME 'NA MANO,Tony Effe,Tony Effe,2:58
2025-03-02,Se t'innamori muori,Noemi,Noemi,3:10
2025-03-02,Amarcord,Sarah Toscano,Sarah Toscano,3:03
2025-03-02,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-02,Viva la vita,Francesco Gabbani,Francesco Gabbani,3:38
2025-03-02,VERTEBRE,SETTEMBRE,SETTEMBRE,2:50
2025-03-02,Devastante,Olly,Olly,3:10
2025-03-02,Scarabocchi,Olly,Olly,3:00
2025-03-02,Per due come noi,Olly,Olly,3:32
