Date,Song Title,Artist,Album,Duration
2025-03-02,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-02,Інстинкт,LOBODA,LOBODA,2:58
2025-03-02,Ау ау,Sasha Norova,Sasha Norova,2:12
2025-03-02,Врубай,Parfeniuk,Parfeniuk,2:30
2025-03-02,не расслабляйся,Skryptonite,Skryptonite,2:44
2025-03-02,ПОВОД,MORGENSHTERN,MORGENSHTERN,2:33
2025-03-02,Кульбаби,Tonya Matvienko,Tonya Matvienko,2:43
2025-03-02,"ДОМ (Лондон, Прага, Ницца)",MORGENSHTERN,MORGENSHTERN,2:33
2025-03-02,São Paulo,The Weeknd,The Weeknd,5:01
2025-03-02,Bad Dreams,Teddy Swims,Teddy Swims,3:04
2025-03-02,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-02,КРАСНЫЙ ФЛАГ,MORGENSHTERN,MORGENSHTERN,2:26
2025-03-02,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-02,A N X I E T Y (feat. Doechii),Sleepy Hallow,Sleepy Hallow,2:28
2025-03-02,APT.,ROSÉ,ROSÉ,2:49
2025-03-02,Messy,Lola Young,Lola Young,4:44
2025-03-02,Невже,Klavdia Petrivna,Klavdia Petrivna,3:01
2025-03-02,Bam Bam,Misha Miller,Misha Miller,2:30
2025-03-02,Гектор,Icegergert,Icegergert,1:22
2025-03-02,Вином текла,Анна Трінчер,Анна Трінчер,2:20
2025-03-02,Timeless,The Weeknd,The Weeknd,4:16
2025-03-02,Твоя,Alena Omargalieva,Alena Omargalieva,3:23
2025-03-02,Не лякай,OSTY,OSTY,2:54
2025-03-02,А що?,MONATIK,MONATIK,3:17
2025-03-02,Cry For Me,The Weeknd,The Weeknd,3:44
