Date,Song Title,Artist,Album,Duration
2025-04-04,NOKIA,Drake,Drake,4:01
2025-04-04,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-04-04,twilight zone,Ariana Grande,Ariana Grande,3:18
2025-04-04,ME JALO,Fuerza Regida,Fuerza Regida,3:32
2025-04-04,Te Quería Ver,Alemán,Alemán,2:56
2025-04-04,Loco,Neton Vega,Neton Vega,3:06
2025-04-04,Por Esos Ojos,Fuerza Regida,Fuerza Regida,3:08
2025-04-04,Morena,Neton Vega,Neton Vega,3:13
2025-04-04,NADIE,Tito Double P,Tito Double P,3:17
2025-04-04,TU TU TU,Clave Especial,Clave Especial,2:31
2025-04-04,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-04-04,dandelion,Ariana Grande,Ariana Grande,3:24
2025-04-04,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-04-04,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-04-04,TATTOO,Tito Double P,Tito Double P,2:47
2025-04-04,Ojos Tristes,Selena Gomez,Selena Gomez,3:21
2025-04-04,7 Días,Gabito Ballesteros,Gabito Ballesteros,3:00
2025-04-04,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-04-04,DOS DÍAS,Tito Double P,Tito Double P,2:33
2025-04-04,M&M,Neton Vega,Neton Vega,2:46
2025-04-04,El Mayor de los Ranas,Victor Valverde,Victor Valverde,2:52
2025-04-04,Tu Boda,Óscar Maydon,Óscar Maydon,3:45
2025-04-04,squabble up,Kendrick Lamar,Kendrick Lamar,2:37
2025-04-04,SOMEBODY LOVES ME,PARTYNEXTDOOR,PARTYNEXTDOOR,3:02
2025-04-04,Mi Vida Mi Muerte,Neton Vega,Neton Vega,2:55
