Date,Song Title,Artist,Album,Duration
2025-04-04,AKON,Jazeek,Jazeek,2:18
2025-04-04,tau mich auf,Zartmann,Zartmann,1:50
2025-04-04,Ordinary,Alex Warren,Alex Warren,3:06
2025-04-04,APT.,ROSÉ,ROSÉ,2:49
2025-04-04,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-04-04,Show Me Love,WizTheMc,WizTheMc,2:56
2025-04-04,Wackelkontakt,Oimara,Oimara,2:48
2025-04-04,Anxiety,Doechii,Doechii,4:09
2025-04-04,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-04-04,bissu dumm ¿,Bonez MC,Bonez MC,2:06
2025-04-04,Wie?,AYLIVA,AYLIVA,2:53
2025-04-04,The Emptiness Machine,LINKIN PARK,LINKIN PARK,3:10
2025-04-04,Dein Mann Freestyle,benno!,benno!,2:25
2025-04-04,Up From the Bottom,LINKIN PARK,LINKIN PARK,3:03
2025-04-04,SABÍA QUE NO,reezy,reezy,3:02
2025-04-04,CRAZYYY,Jazeek,Jazeek,2:26
2025-04-04,Wunder,AYLIVA,AYLIVA,2:56
2025-04-04,Como Estas,Jazeek,Jazeek,2:24
2025-04-04,Messy,Lola Young,Lola Young,4:44
2025-04-04,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-04-04,Bad Dreams,Teddy Swims,Teddy Swims,3:04
2025-04-04,I Adore You (feat. Daecolm),HUGEL,HUGEL,3:34
2025-04-04,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-04-04,Jiggy,Filow,Filow,2:11
2025-04-04,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
