Date,Song Title,Artist,Album,Duration
2025-03-05,Laho,Shallipopi,Shallipopi,2:24
2025-03-05,Arike,Kunmie,Kunmie,2:04
2025-03-05,So it Goes,Black Sherif,Black Sherif,3:43
2025-03-05,Sa Me (feat. City Boy),Reggie,Reggie,2:48
2025-03-05,Lord I'm Amazed,Black Sherif,Black Sherif,2:26
2025-03-05,Excellent,KOJO BLAK,KOJO BLAK,2:40
2025-03-05,Baby (Is It A Crime),Rema,Rema,2:44
2025-03-05,Venus,Faceless,Faceless,2:19
2025-03-05,NEXT DOOR,KOJO BLAK,KOJO BLAK,2:36
2025-03-05,Joy is Coming,Fido,Fido,3:08
2025-03-05,Proud Of Me,Fridayy,Fridayy,3:50
2025-03-05,Agyekum,Kweku Smoke,Kweku Smoke,2:58
2025-03-05,Jesus Christ 2 (feat. Black Sherif),AratheJay,AratheJay,3:37
2025-03-05,SHAOLIN,Seyi Vibez,Seyi Vibez,2:20
2025-03-05,Hold Tight,Kweku Smoke,Kweku Smoke,3:33
2025-03-05,God Is The Greatest,Vybz Kartel,Vybz Kartel,3:00
2025-03-05,Young Boy,Kweku Smoke,Kweku Smoke,2:15
2025-03-05,WHY LOVE,Asake,Asake,3:30
2025-03-05,Holy Ghost,Kweku Smoke,Kweku Smoke,3:17
2025-03-05,Born in Hell,Kweku Smoke,Kweku Smoke,2:15
2025-03-05,25,Rod Wave,Rod Wave,3:00
2025-03-05,Rebel Music,Black Sherif,Black Sherif,2:41
2025-03-05,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-05,PITY THIS BOY,ODUMODUBLVCK,ODUMODUBLVCK,2:45
2025-03-05,Favour,Lawrence Oyor,Lawrence Oyor,5:57
