Date,Song Title,Artist,Album,Duration
2025-03-23,ME JALO,Fuerza Regida,Fuerza Regida,3:32
2025-03-23,Loco,Neton Vega,Neton Vega,3:06
2025-03-23,NOKIA,Drake,Drake,4:01
2025-03-23,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-23,Morena,Neton Vega,Neton Vega,3:13
2025-03-23,TATTOO,Tito Double P,Tito Double P,2:47
2025-03-23,Te Quería Ver,Alemán,Alemán,2:56
2025-03-23,Por Esos Ojos,Fuerza Regida,Fuerza Regida,3:08
2025-03-23,NADIE,Tito Double P,Tito Double P,3:17
2025-03-23,7 Días,Gabito Ballesteros,Gabito Ballesteros,3:00
2025-03-23,DOS DÍAS,Tito Double P,Tito Double P,2:33
2025-03-23,EVIL J0RDAN,Playboi Carti,Playboi Carti,3:03
2025-03-23,RATHER LIE,Playboi Carti,Playboi Carti,3:29
2025-03-23,Ojos Tristes,Selena Gomez,Selena Gomez,3:21
2025-03-23,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-23,Mi Vida Mi Muerte,Neton Vega,Neton Vega,2:55
2025-03-23,El Mayor de los Ranas,Victor Valverde,Victor Valverde,2:52
2025-03-23,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-23,M&M,Neton Vega,Neton Vega,2:46
2025-03-23,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-03-23,ROSONES,Tito Double P,Tito Double P,2:57
2025-03-23,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-23,EL LOKERON,Tito Double P,Tito Double P,2:25
2025-03-23,Tu Boda,Óscar Maydon,Óscar Maydon,3:45
2025-03-23,gervonta,Peso Pluma,Peso Pluma,2:47
