Date,Song Title,Artist,Album,Duration
2025-03-09,NOKIA,Drake,Drake,4:01
2025-03-09,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-09,Proud Of Me,Fridayy,Fridayy,3:50
2025-03-09,Anxiety,Doechii,Doechii,4:09
2025-03-09,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-03-09,SOMEBODY LOVES ME,PARTYNEXTDOOR,PARTYNEXTDOOR,3:02
2025-03-09,GIMME A HUG,Drake,Drake,3:13
2025-03-09,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-09,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-03-09,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-09,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-09,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-09,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-09,squabble up,Kendrick Lamar,Kendrick Lamar,2:37
2025-03-09,Garden Of Eden,Lady Gaga,Lady Gaga,3:59
2025-03-09,Vanish Into You,Lady Gaga,Lady Gaga,4:04
2025-03-09,Timeless,The Weeknd,The Weeknd,4:16
2025-03-09,BAILE INoLVIDABLE,Bad Bunny,Bad Bunny,6:07
2025-03-09,Sports car,Tate McRae,Tate McRae,2:45
2025-03-09,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-09,DENIAL IS A RIVER,Doechii,Doechii,2:39
2025-03-09,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-09,Snooze,SZA,SZA,3:21
2025-03-09,MUTT,Leon Thomas,Leon Thomas,3:13
2025-03-09,DtMF,Bad Bunny,Bad Bunny,3:57
