Date,Song Title,Artist,Album,Duration
2025-03-09,tau mich auf,Zartmann,Zartmann,1:50
2025-03-09,Wackelkontakt,Oimara,Oimara,2:48
2025-03-09,APT.,ROSÉ,ROSÉ,2:49
2025-03-09,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-09,Wie?,AYLIVA,AYLIVA,2:53
2025-03-09,Anxiety,Doechii,Doechii,4:09
2025-03-09,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-09,ANXIETY (feat. Doechii),Sleepy Hallow,Sleepy Hallow,2:28
2025-03-09,Vanish Into You,Lady Gaga,Lady Gaga,4:04
2025-03-09,Garden Of Eden,Lady Gaga,Lady Gaga,3:59
2025-03-09,Messy,Lola Young,Lola Young,4:44
2025-03-09,Mona Lisa Motion,ZAH1DE,ZAH1DE,2:12
2025-03-09,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-09,me & you,YAKARY,YAKARY,2:18
2025-03-09,STREIT,makko,makko,3:32
2025-03-09,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-09,Private,Ufo361,Ufo361,2:22
2025-03-09,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-09,Baller,Abor & Tynna,Abor & Tynna,2:39
2025-03-09,Bad Dreams,Teddy Swims,Teddy Swims,3:04
2025-03-09,Wunder,AYLIVA,AYLIVA,2:56
2025-03-09,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-03-09,SABÍA QUE NO,reezy,reezy,3:02
2025-03-09,Schau mal herein,Helene Fischer,Helene Fischer,3:03
