Date,Song Title,Artist,Album,Duration
2025-03-09,Entré,Anton Westerlin,Anton Westerlin,2:53
2025-03-09,Lyst Til At Hop',Tempo,Tempo,2:42
2025-03-09,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-09,APT.,ROSÉ,ROSÉ,2:49
2025-03-09,Sød Ligesom,Otto,Otto,2:38
2025-03-09,Blodigt,Anton Westerlin,Anton Westerlin,3:02
2025-03-09,Messy,Lola Young,Lola Young,4:44
2025-03-09,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-09,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-09,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-09,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-09,Sig Det Bare,Aida,Aida,2:50
2025-03-09,Luk Mig Ind,Annika,Annika,3:17
2025-03-09,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-09,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-09,Hele Vejen (feat. Mumle),Omar,Omar,2:57
2025-03-09,Anxiety,Doechii,Doechii,4:09
2025-03-09,Vanish Into You,Lady Gaga,Lady Gaga,4:04
2025-03-09,SAMMEN,Marstein,Marstein,2:58
2025-03-09,Espresso,Sabrina Carpenter,Sabrina Carpenter,2:55
2025-03-09,ANXIETY (feat. Doechii),Sleepy Hallow,Sleepy Hallow,2:28
2025-03-09,Sports car,Tate McRae,Tate McRae,2:45
2025-03-09,CHECK,Zuloo,Zuloo,1:54
2025-03-09,Beautiful Things,Benson Boone,Benson Boone,3:00
