Date,Song Title,Artist,Album,Duration
2025-03-06,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-06,NOKIA,Drake,Drake,4:01
2025-03-06,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-03-06,GIMME A HUG,Drake,Drake,3:13
2025-03-06,SOMEBODY LOVES ME,PARTYNEXTDOOR,PARTYNEXTDOOR,3:02
2025-03-06,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-06,TATTOO,Tito Double P,Tito Double P,2:47
2025-03-06,Por Esos Ojos,Fuerza Regida,Fuerza Regida,3:08
2025-03-06,Ms. Whitman,Bhad Bhabie,Bhad Bhabie,2:06
2025-03-06,ANXIETY (feat. Doechii),Sleepy Hallow,Sleepy Hallow,2:28
2025-03-06,ME JALO,Fuerza Regida,Fuerza Regida,3:32
2025-03-06,Loco,Neton Vega,Neton Vega,3:06
2025-03-06,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-03-06,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-06,Morena,Neton Vega,Neton Vega,3:13
2025-03-06,Timeless,The Weeknd,The Weeknd,4:16
2025-03-06,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-06,7 Días,Gabito Ballesteros,Gabito Ballesteros,3:00
2025-03-06,Anxiety,Doechii,Doechii,4:09
2025-03-06,Little Things,Ella Mai,Ella Mai,2:52
2025-03-06,squabble up,Kendrick Lamar,Kendrick Lamar,2:37
2025-03-06,Sports car,Tate McRae,Tate McRae,2:45
2025-03-06,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-06,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-06,I'm The Problem,Morgan Wallen,Morgan Wallen,2:57
