Date,Song Title,Artist,Album,Duration
2025-03-06,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-06,Marilag,Dionela,Dionela,2:37
2025-03-06,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-06,Blink Twice,BINI,BINI,2:33
2025-03-06,Multo,Cup of Joe,Cup of Joe,3:57
2025-03-06,Sa Bawat Sandali,Amiel Sol,Amiel Sol,5:02
2025-03-06,sining (feat. Jay R),Dionela,Dionela,3:20
2025-03-06,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-06,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-03-06,Backburner,NIKI,NIKI,3:56
2025-03-06,Dilaw,Maki,Maki,3:12
2025-03-06,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-06,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-06,ExtraL,JENNIE,JENNIE,2:47
2025-03-06,After Hours,Kehlani,Kehlani,3:22
2025-03-06,DAM,SB19,SB19,3:29
2025-03-06,Palagi (TJxKZ Version),TJ Monterde,TJ Monterde,4:01
2025-03-06,BMF,SZA,SZA,3:00
2025-03-06,blue,yung kai,yung kai,3:34
2025-03-06,APT.,ROSÉ,ROSÉ,2:49
2025-03-06,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-06,Taste,Sabrina Carpenter,Sabrina Carpenter,2:37
2025-03-06,Kalimutan Ka,Skusta Clee,Skusta Clee,4:48
2025-03-06,Snooze,SZA,SZA,3:21
2025-03-06,Espresso,Sabrina Carpenter,Sabrina Carpenter,2:55
