Date,Song Title,Artist,Album,Duration
2025-02-27,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-02-27,Messy,Lola Young,Lola Young,4:44
2025-02-27,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-02-27,Revolving door,Tate McRae,Tate McRae,3:00
2025-02-27,APT.,ROSÉ,ROSÉ,2:49
2025-02-27,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-02-27,Sports car,Tate McRae,Tate McRae,2:45
2025-02-27,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-02-27,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-02-27,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-02-27,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-02-27,Busy Woman,Sabrina Carpenter,Sabrina Carpenter,3:06
2025-02-27,Taste,Sabrina Carpenter,Sabrina Carpenter,2:37
2025-02-27,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
2025-02-27,Espresso,Sabrina Carpenter,Sabrina Carpenter,2:55
2025-02-27,Sailor Song,Gigi Perez,Gigi Perez,3:31
2025-02-27,NOKIA,Drake,Drake,4:01
2025-02-27,All The Stars,Kendrick Lamar,Kendrick Lamar,3:52
2025-02-27,Ordinary,Alex Warren,Alex Warren,3:06
2025-02-27,"Good Luck, Babe!",Chappell Roan,Chappell Roan,3:38
2025-02-27,Somedays,Sonny Fodera,Sonny Fodera,3:27
2025-02-27,Bed Chem,Sabrina Carpenter,Sabrina Carpenter,2:51
2025-02-27,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-02-27,People Watching,Sam Fender,Sam Fender,5:04
2025-02-27,Little Bit Closer,Sam Fender,Sam Fender,3:54
