Date,Song Title,Artist,Album,Duration
2025-02-27,APT.,ROSÉ,ROSÉ,2:49
2025-02-27,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-02-27,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-02-27,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-02-27,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-02-27,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-02-27,I Had Some Help (feat. Morgan Wallen),Post Malone,Post Malone,2:58
2025-02-27,Messy,Lola Young,Lola Young,4:44
2025-02-27,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-02-27,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-02-27,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-02-27,Sports car,Tate McRae,Tate McRae,2:45
2025-02-27,Revolving door,Tate McRae,Tate McRae,3:00
2025-02-27,I know love (feat. The Kid LAROI),Tate McRae,Tate McRae,2:36
2025-02-27,I'm The Problem,Morgan Wallen,Morgan Wallen,2:57
2025-02-27,Espresso,Sabrina Carpenter,Sabrina Carpenter,2:55
2025-02-27,The Days (NOTION Remix),CHRYSTAL,CHRYSTAL,3:53
2025-02-27,Lose Control,Teddy Swims,Teddy Swims,3:30
2025-02-27,"Good Luck, Babe!",Chappell Roan,Chappell Roan,3:38
2025-02-27,NOKIA,Drake,Drake,4:01
2025-02-27,Taste,Sabrina Carpenter,Sabrina Carpenter,2:37
2025-02-27,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
2025-02-27,Fast Car,Luke Combs,Luke Combs,4:25
2025-02-27,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-02-27,Ain't No Love In Oklahoma,Luke Combs,Luke Combs,3:30
