Date,Song Title,Artist,Album,Duration
2025-04-03,Ordinary,Alex Warren,Alex Warren,3:06
2025-04-03,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-04-03,APT.,ROSÉ,ROSÉ,2:49
2025-04-03,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-04-03,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-04-03,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-04-03,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-04-03,Messy,Lola Young,Lola Young,4:44
2025-04-03,Anxiety,Doechii,Doechii,4:09
2025-04-03,I Had Some Help (feat. Morgan Wallen),Post Malone,Post Malone,2:58
2025-04-03,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-04-03,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-04-03,NOKIA,Drake,Drake,4:01
2025-04-03,I'm The Problem,Morgan Wallen,Morgan Wallen,2:57
2025-04-03,Just In Case,Morgan Wallen,Morgan Wallen,2:46
2025-04-03,Lose Control,Teddy Swims,Teddy Swims,3:30
2025-04-03,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-04-03,twilight zone,Ariana Grande,Ariana Grande,3:18
2025-04-03,The Days (NOTION Remix),CHRYSTAL,CHRYSTAL,3:53
2025-04-03,Sports car,Tate McRae,Tate McRae,2:45
2025-04-03,Fast Car,Luke Combs,Luke Combs,4:25
2025-04-03,"Good Luck, Babe!",Chappell Roan,Chappell Roan,3:38
2025-04-03,Taste,Sabrina Carpenter,Sabrina Carpenter,2:37
2025-04-03,I'm A Little Crazy,Morgan Wallen,Morgan Wallen,3:19
2025-04-03,Ain't No Love In Oklahoma,Luke Combs,Luke Combs,3:30
