Date,Song Title,Artist,Album,Duration
2025-04-03,Ordinary,Alex Warren,Alex Warren,3:06
2025-04-03,APT.,ROSÉ,ROSÉ,2:49
2025-04-03,AKON,Jazeek,Jazeek,2:18
2025-04-03,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-04-03,Anxiety,Doechii,Doechii,4:09
2025-04-03,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-04-03,Show Me Love,WizTheMc,WizTheMc,2:56
2025-04-03,Messy,Lola Young,Lola Young,4:44
2025-04-03,twilight zone,Ariana Grande,Ariana Grande,3:18
2025-04-03,tau mich auf,Zartmann,Zartmann,1:50
2025-04-03,DtMF,Bad Bunny,Bad Bunny,3:57
2025-04-03,Wackelkontakt,Oimara,Oimara,2:48
2025-04-03,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-04-03,Bad Dreams,Teddy Swims,Teddy Swims,3:04
2025-04-03,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-04-03,bissu dumm ¿,Bonez MC,Bonez MC,2:06
2025-04-03,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-04-03,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-04-03,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-04-03,Up From the Bottom,LINKIN PARK,LINKIN PARK,3:03
2025-04-03,NOKIA,Drake,Drake,4:01
2025-04-03,Wie?,AYLIVA,AYLIVA,2:53
2025-04-03,I Adore You (feat. Daecolm),HUGEL,HUGEL,3:34
2025-04-03,The Emptiness Machine,LINKIN PARK,LINKIN PARK,3:10
2025-04-03,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
