Date,Song Title,Artist,Album,Duration
2025-04-03,NOKIA,Drake,Drake,4:01
2025-04-03,Just In Case,Morgan Wallen,Morgan Wallen,2:46
2025-04-03,twilight zone,Ariana Grande,Ariana Grande,3:18
2025-04-03,Ordinary,Alex Warren,Alex Warren,3:06
2025-04-03,SOMEBODY LOVES ME,PARTYNEXTDOOR,PARTYNEXTDOOR,3:02
2025-04-03,DIE TRYING,PARTYNEXTDOOR,PARTYNEXTDOOR,3:15
2025-04-03,I'm The Problem,Morgan Wallen,Morgan Wallen,2:57
2025-04-03,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-04-03,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-04-03,I'm A Little Crazy,Morgan Wallen,Morgan Wallen,3:19
2025-04-03,dandelion,Ariana Grande,Ariana Grande,3:24
2025-04-03,Dil Dardeh,Sukha,Sukha,3:15
2025-04-03,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-04-03,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-04-03,RATHER LIE,Playboi Carti,Playboi Carti,3:29
2025-04-03,Love Somebody,Morgan Wallen,Morgan Wallen,3:24
2025-04-03,Vanish Mode,Lil Durk,Lil Durk,2:03
2025-04-03,Sports car,Tate McRae,Tate McRae,2:45
2025-04-03,APT.,ROSÉ,ROSÉ,2:49
2025-04-03,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-04-03,Dark Thoughts,Lil Tecca,Lil Tecca,2:16
2025-04-03,warm,Ariana Grande,Ariana Grande,3:21
2025-04-03,Revolving door,Tate McRae,Tate McRae,3:00
2025-04-03,Regions,Sukha,Sukha,2:46
2025-04-03,EVIL J0RDAN,Playboi Carti,Playboi Carti,3:03
