Date,Song Title,Artist,Album,Duration
2025-03-21,APT.,ROSÉ,ROSÉ,2:49
2025-03-21,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-21,Anxiety,Doechii,Doechii,4:09
2025-03-21,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-21,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-21,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-21,Messy,Lola Young,Lola Young,4:44
2025-03-21,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-21,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-21,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-21,EVIL J0RDAN,Playboi Carti,Playboi Carti,3:03
2025-03-21,The Giver,Chappell Roan,Chappell Roan,3:22
2025-03-21,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-21,Sports car,Tate McRae,Tate McRae,2:45
2025-03-21,NOKIA,Drake,Drake,4:01
2025-03-21,like JENNIE,JENNIE,JENNIE,2:03
2025-03-21,Training Season,Dua Lipa,Dua Lipa,3:29
2025-03-21,RATHER LIE,Playboi Carti,Playboi Carti,3:29
2025-03-21,Espresso,Sabrina Carpenter,Sabrina Carpenter,2:55
2025-03-21,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
2025-03-21,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-03-21,"Good Luck, Babe!",Chappell Roan,Chappell Roan,3:38
2025-03-21,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-21,Ordinary,Alex Warren,Alex Warren,3:06
2025-03-21,New Rules,Dua Lipa,Dua Lipa,3:29
