Date,Song Title,Artist,Album,Duration
2025-03-21,ancora (feat. Geolier),Rose Villain,Rose Villain,3:08
2025-03-21,LA CURA PER ME,Giorgia,Giorgia,3:35
2025-03-21,Balorda nostalgia,Olly,Olly,3:17
2025-03-21,Incoscienti Giovani,Achille Lauro,Achille Lauro,3:24
2025-03-21,ANEMA E CORE,Serena Brancale,Serena Brancale,2:46
2025-03-21,BATTITO,Fedez,Fedez,3:14
2025-03-21,CHIAMO IO CHIAMI TU,GAIA,GAIA,3:38
2025-03-21,Dimenticarsi alle 7,Elodie,Elodie,3:34
2025-03-21,Anxiety,Doechii,Doechii,4:09
2025-03-21,TU CON CHI FAI L'AMORE,The Kolors,The Kolors,3:27
2025-03-21,Volevo essere un duro,Lucio Corsi,Lucio Corsi,3:05
2025-03-21,Un mondo a parte,Jovanotti,Jovanotti,4:00
2025-03-21,fuorilegge,Rose Villain,Rose Villain,3:41
2025-03-21,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-21,Oh Mamma Mia,Guè,Guè,2:48
2025-03-21,no vabbè (feat. Lazza),Rose Villain,Rose Villain,2:40
2025-03-21,"PEZZI DA NOVANTA (feat. MV Killa, Yung Snapp, Lele Blade, Vale Lambo, Frezza)",SLF,SLF,3:14
2025-03-21,CUORICINI,Coma_Cose,Coma_Cose,3:14
2025-03-21,La Mia Parola (feat. Tormento),Shablo,Shablo,2:50
2025-03-21,EL PIBE DE ORO,Geolier,Geolier,2:35
2025-03-21,TU ED IO (feat. Rose Villain),Geolier,Geolier,3:03
2025-03-21,MAI PER SEMPRE,Geolier,Geolier,3:40
2025-03-21,il ritmo delle cose.,Rkomi,Rkomi,3:12
2025-03-21,MILLE VOTE ANCORA,Rocco Hunt,Rocco Hunt,3:12
2025-03-21,Se t'innamori muori,Noemi,Noemi,3:10
