Date,Song Title,Artist,Album,Duration
2025-03-22,Ordinary,Alex Warren,Alex Warren,3:06
2025-03-22,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-22,Messy,Lola Young,Lola Young,4:44
2025-03-22,APT.,ROSÉ,ROSÉ,2:49
2025-03-22,Anxiety,Doechii,Doechii,4:09
2025-03-22,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-22,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-22,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-22,NOKIA,Drake,Drake,4:01
2025-03-22,The Days (NOTION Remix),CHRYSTAL,CHRYSTAL,3:53
2025-03-22,Taste,Sabrina Carpenter,Sabrina Carpenter,2:37
2025-03-22,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-03-22,Espresso,Sabrina Carpenter,Sabrina Carpenter,2:55
2025-03-22,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-22,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-22,Somedays,Sonny Fodera,Sonny Fodera,3:27
2025-03-22,The Giver,Chappell Roan,Chappell Roan,3:22
2025-03-22,Bad Dreams,Teddy Swims,Teddy Swims,3:04
2025-03-22,Nice To Meet You,Myles Smith,Myles Smith,2:56
2025-03-22,Sports car,Tate McRae,Tate McRae,2:45
2025-03-22,Busy Woman,Sabrina Carpenter,Sabrina Carpenter,3:06
2025-03-22,Bed Chem,Sabrina Carpenter,Sabrina Carpenter,2:51
2025-03-22,Show Me Love,WizTheMc,WizTheMc,2:56
2025-03-22,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-22,Here In Your Arms,Nathan Dawe,Nathan Dawe,2:32
