Date,Song Title,Artist,Album,Duration
2025-03-22,Just In Case,Morgan Wallen,Morgan Wallen,2:46
2025-03-22,I'm A Little Crazy,Morgan Wallen,Morgan Wallen,3:19
2025-03-22,I'm The Problem,Morgan Wallen,Morgan Wallen,2:57
2025-03-22,Love Somebody,Morgan Wallen,Morgan Wallen,3:24
2025-03-22,Smile,Morgan Wallen,Morgan Wallen,3:44
2025-03-22,Lies Lies Lies,Morgan Wallen,Morgan Wallen,3:18
2025-03-22,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-22,I Had Some Help (feat. Morgan Wallen),Post Malone,Post Malone,2:58
2025-03-22,Chasin' You,Morgan Wallen,Morgan Wallen,3:25
2025-03-22,Ordinary,Alex Warren,Alex Warren,3:06
2025-03-22,Spin You Around (1/24),Morgan Wallen,Morgan Wallen,3:29
2025-03-22,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-22,Cowgirls (feat. ERNEST),Morgan Wallen,Morgan Wallen,3:01
2025-03-22,Close The Door,Moneybagg Yo,Moneybagg Yo,2:11
2025-03-22,Thinkin’ Bout Me,Morgan Wallen,Morgan Wallen,2:57
2025-03-22,Last Night,Morgan Wallen,Morgan Wallen,2:43
2025-03-22,NOKIA,Drake,Drake,4:01
2025-03-22,EVIL J0RDAN,Playboi Carti,Playboi Carti,3:03
2025-03-22,Wasted On You,Morgan Wallen,Morgan Wallen,2:58
2025-03-22,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-03-22,Worst Way,Riley Green,Riley Green,3:40
2025-03-22,I Never Lie,Zach Top,Zach Top,3:44
2025-03-22,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-22,Right Where I'm Supposed to Be,Kevin Gates,Kevin Gates,2:12
2025-03-22,Whiskey Glasses,Morgan Wallen,Morgan Wallen,3:54
