Date,Song Title,Artist,Album,Duration
2025-04-08,Ordinary,Alex Warren,Alex Warren,3:06
2025-04-08,Azizam,Ed Sheeran,Ed Sheeran,2:42
2025-04-08,APT.,ROSÉ,ROSÉ,2:49
2025-04-08,NOKIA,Drake,Drake,4:01
2025-04-08,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-04-08,Anxiety,Doechii,Doechii,4:09
2025-04-08,Messy,Lola Young,Lola Young,4:44
2025-04-08,Show Me Love,WizTheMc,WizTheMc,2:56
2025-04-08,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-04-08,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-04-08,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-04-08,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-04-08,twilight zone,Ariana Grande,Ariana Grande,3:18
2025-04-08,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-04-08,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-04-08,Bad Dreams,Teddy Swims,Teddy Swims,3:04
2025-04-08,The Days (NOTION Remix),CHRYSTAL,CHRYSTAL,3:53
2025-04-08,Taste,Sabrina Carpenter,Sabrina Carpenter,2:37
2025-04-08,Somedays,Sonny Fodera,Sonny Fodera,3:27
2025-04-08,Sports car,Tate McRae,Tate McRae,2:45
2025-04-08,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-04-08,Nice To Meet You,Myles Smith,Myles Smith,2:56
2025-04-08,Espresso,Sabrina Carpenter,Sabrina Carpenter,2:55
2025-04-08,Laho,Shallipopi,Shallipopi,2:24
2025-04-08,Stargazing,Myles Smith,Myles Smith,2:52
