Date,Song Title,Artist,Album,Duration
2025-04-22,La Plena (W Sound 05),W Sound,W Sound,2:30
2025-04-22,Mi Refe,Beéle,Beéle,2:39
2025-04-22,Solcito,Miguel Bueno,Miguel Bueno,2:24
2025-04-22,sobelove,Beéle,Beéle,2:11
2025-04-22,BAILE INoLVIDABLE,Bad Bunny,Bad Bunny,6:07
2025-04-22,VITAMINA,Jombriel,Jombriel,3:28
2025-04-22,DtMF,Bad Bunny,Bad Bunny,3:57
2025-04-22,VeLDÁ,Bad Bunny,Bad Bunny,3:55
2025-04-22,Volver,Piso 21,Piso 21,3:52
2025-04-22,PERRO NEGRO,Bad Bunny,Bad Bunny,2:42
2025-04-22,Hasta Aquí Llegué,Nanpa Básico,Nanpa Básico,3:08
2025-04-22,"+57 (feat. Ovy On the Drums, J Balvin, Maluma, Ryan Castro & Blessd)",KAROL G,KAROL G,4:58
2025-04-22,SORRY 4 THAT MUCH,Feid,Feid,3:27
2025-04-22,Si Antes Te Hubiera Conocido,KAROL G,KAROL G,3:15
2025-04-22,LUNA,Feid,Feid,3:16
2025-04-22,Moscow Mule,Bad Bunny,Bad Bunny,4:05
2025-04-22,capaz (merengueton),Alleh,Alleh,2:53
2025-04-22,Tití Me Preguntó,Bad Bunny,Bad Bunny,4:03
2025-04-22,Qué Pasaría...,Rauw Alejandro,Rauw Alejandro,3:11
2025-04-22,Te Quería Ver,Alemán,Alemán,2:56
2025-04-22,Vete,Bad Bunny,Bad Bunny,3:12
2025-04-22,Khé?,Rauw Alejandro,Rauw Alejandro,3:26
2025-04-22,Rio,J Balvin,J Balvin,3:08
2025-04-22,El Mayor de los Ranas,Victor Valverde,Victor Valverde,2:52
2025-04-22,Brickell,Feid,Feid,3:00
