Date,Song Title,Artist,Album,Duration
2025-04-12,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-04-12,NOKIA,Drake,Drake,4:01
2025-04-12,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-04-12,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-04-12,MUTT (CB REMIX),Leon Thomas,Leon Thomas,3:19
2025-04-12,APT.,ROSÉ,ROSÉ,2:49
2025-04-12,Love Attack,Small Axe,Small Axe,3:31
2025-04-12,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-04-12,Only Jah Jah Knows,Kanaka Fyah,Kanaka Fyah,3:32
2025-04-12,Ordinary,Alex Warren,Alex Warren,3:06
2025-04-12,twilight zone,Ariana Grande,Ariana Grande,3:18
2025-04-12,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-04-12,Every Night Every Morning,Maoli,Maoli,3:17
2025-04-12,Snooze,SZA,SZA,3:21
2025-04-12,Just In Case,Morgan Wallen,Morgan Wallen,2:46
2025-04-12,Back 2 My Roots,Rebel Souljahz,Rebel Souljahz,3:59
2025-04-12,Residuals,Chris Brown,Chris Brown,3:35
2025-04-12,Sand In My Boots,High Watah,High Watah,3:15
2025-04-12,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-04-12,All The Way,BigXthaPlug,BigXthaPlug,2:45
2025-04-12,Keeping Score,High Watah,High Watah,3:33
2025-04-12,MUTT,Leon Thomas,Leon Thomas,3:13
2025-04-12,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-04-12,squabble up,Kendrick Lamar,Kendrick Lamar,2:37
2025-04-12,Unwritten,Maoli,Maoli,3:51
