Date,Song Title,Artist,Album,Duration
2025-02-26,世界贈予我的,Faye Wong,Faye Wong,4:04
2025-02-26,Jumping Machine (跳楼机),LBI利比(時柏塵),LBI利比(時柏塵),3:21
2025-02-26,ExtraL,JENNIE,JENNIE,2:47
2025-02-26,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-02-26,Only One,G.E.M.,G.E.M.,4:13
2025-02-26,The Chase,Hearts2Hearts,Hearts2Hearts,2:58
2025-02-26,APT.,ROSÉ,ROSÉ,2:49
2025-02-26,Whiplash,aespa,aespa,3:03
2025-02-26,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-02-26,Sunny Day,Jay Chou,Jay Chou,4:29
2025-02-26,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-02-26,Wrong Love,Wang Leehom,Wang Leehom,3:58
2025-02-26,Qi-Li-Xiang,Jay Chou,Jay Chou,4:57
2025-02-26,Step Aside,Jay Chou,Jay Chou,3:58
2025-02-26,Born Again (feat. Doja Cat & RAYE),LISA,LISA,3:51
2025-02-26,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-02-26,像晴天像雨天(电视剧《难哄》心动曲),Silence Wang,Silence Wang,3:56
2025-02-26,Love Hangover,JENNIE,JENNIE,3:00
2025-02-26,愛我還是他,David Tao,David Tao,4:52
2025-02-26,"Good Luck, Babe!",Chappell Roan,Chappell Roan,3:38
2025-02-26,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-02-26,Espresso,Sabrina Carpenter,Sabrina Carpenter,2:55
2025-02-26,Revolving door,Tate McRae,Tate McRae,3:00
2025-02-26,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-02-26,富士山下,Eason Chan,Eason Chan,4:19
