Date,Song Title,Artist,Album,Duration
2025-03-26,Just In Case,Morgan Wallen,Morgan Wallen,2:46
2025-03-26,I'm A Little Crazy,Morgan Wallen,Morgan Wallen,3:19
2025-03-26,NOKIA,Drake,Drake,4:01
2025-03-26,Ordinary,Alex Warren,Alex Warren,3:06
2025-03-26,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-26,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-26,I'm The Problem,Morgan Wallen,Morgan Wallen,2:57
2025-03-26,Love Somebody,Morgan Wallen,Morgan Wallen,3:24
2025-03-26,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-26,Sports car,Tate McRae,Tate McRae,2:45
2025-03-26,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-03-26,Anxiety,Doechii,Doechii,4:09
2025-03-26,Smile,Morgan Wallen,Morgan Wallen,3:44
2025-03-26,I Had Some Help (feat. Morgan Wallen),Post Malone,Post Malone,2:58
2025-03-26,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-26,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-26,How Does It Feel To Be Forgotten,Selena Gomez,Selena Gomez,2:41
2025-03-26,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-26,Lies Lies Lies,Morgan Wallen,Morgan Wallen,3:18
2025-03-26,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-26,DIE TRYING,PARTYNEXTDOOR,PARTYNEXTDOOR,3:15
2025-03-26,APT.,ROSÉ,ROSÉ,2:49
2025-03-26,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-26,The Giver,Chappell Roan,Chappell Roan,3:22
2025-03-26,Dark Thoughts,Lil Tecca,Lil Tecca,2:16
