Date,Song Title,Artist,Album,Duration
2025-03-26,ME JALO,Fuerza Regida,Fuerza Regida,3:32
2025-03-26,Loco,Neton Vega,Neton Vega,3:06
2025-03-26,Ojos Tristes,Selena Gomez,Selena Gomez,3:21
2025-03-26,NOKIA,Drake,Drake,4:01
2025-03-26,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-26,Te Quería Ver,Alemán,Alemán,2:56
2025-03-26,Morena,Neton Vega,Neton Vega,3:13
2025-03-26,Por Esos Ojos,Fuerza Regida,Fuerza Regida,3:08
2025-03-26,TATTOO,Tito Double P,Tito Double P,2:47
2025-03-26,How Does It Feel To Be Forgotten,Selena Gomez,Selena Gomez,2:41
2025-03-26,NADIE,Tito Double P,Tito Double P,3:17
2025-03-26,Mi Vida Mi Muerte,Neton Vega,Neton Vega,2:55
2025-03-26,7 Días,Gabito Ballesteros,Gabito Ballesteros,3:00
2025-03-26,El Mayor de los Ranas,Victor Valverde,Victor Valverde,2:52
2025-03-26,DOS DÍAS,Tito Double P,Tito Double P,2:33
2025-03-26,M&M,Neton Vega,Neton Vega,2:46
2025-03-26,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-26,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-26,RATHER LIE,Playboi Carti,Playboi Carti,3:29
2025-03-26,EVIL J0RDAN,Playboi Carti,Playboi Carti,3:03
2025-03-26,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-03-26,ROSONES,Tito Double P,Tito Double P,2:57
2025-03-26,Tu Boda,Óscar Maydon,Óscar Maydon,3:45
2025-03-26,EL LOKERON,Tito Double P,Tito Double P,2:25
2025-03-26,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
