Date,Song Title,Artist,Album,Duration
2025-03-10,Garden Of Eden,Lady Gaga,Lady Gaga,3:59
2025-03-10,Vanish Into You,Lady Gaga,Lady Gaga,4:04
2025-03-10,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-10,APT.,ROSÉ,ROSÉ,2:49
2025-03-10,Mãe Solteira,DG e Batidão Stronda,DG e Batidão Stronda,2:24
2025-03-10,like JENNIE,JENNIE,JENNIE,2:03
2025-03-10,Resenha do Arrocha,J. Eskine,J. Eskine,5:54
2025-03-10,Coração Partido (Corazón Partío) [Ao Vivo],Grupo Menos É Mais,Grupo Menos É Mais,3:15
2025-03-10,Motinha 2.0,DENNIS,DENNIS,1:58
2025-03-10,Sweet Dreams,j-hope,j-hope,2:52
2025-03-10,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-10,ExtraL,JENNIE,JENNIE,2:47
2025-03-10,Sei Que Tu Me Odeia,Anitta,Anitta,2:40
2025-03-10,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-10,"Oh Garota Eu Quero Você Só Pra Mim (feat. MC K9, MC Rodrigo do CN & mc pl alves)",Oruam,Oruam,2:46
2025-03-10,Who,Jimin,Jimin,2:50
2025-03-10,Espresso,Sabrina Carpenter,Sabrina Carpenter,2:55
2025-03-10,Messy,Lola Young,Lola Young,4:44
2025-03-10,Fui Mlk (feat. FamousKyo),Nilo,Nilo,2:54
2025-03-10,Nocaute,Jorge & Mateus,Jorge & Mateus,2:47
2025-03-10,Anxiety,Doechii,Doechii,4:09
2025-03-10,Última Noite,Léo Foguete,Léo Foguete,2:34
2025-03-10,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-10,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-10,Lose Control,Teddy Swims,Teddy Swims,3:30
