Date,Song Title,Artist,Album,Duration
2025-03-06,Mood,KeBlack,KeBlack,2:51
2025-03-06,NINAO,GIMS,GIMS,2:47
2025-03-06,CIEL,GIMS,GIMS,3:06
2025-03-06,La Pluie,Franglish,Franglish,3:56
2025-03-06,Pélican,L2B,L2B,2:45
2025-03-06,DIANA,GIMS,GIMS,2:19
2025-03-06,Carré OK (feat. GIMS),Soolking,Soolking,2:40
2025-03-06,Run,Rim'K,Rim'K,2:59
2025-03-06,CARTIER SANTOS,SDM,SDM,3:03
2025-03-06,BABY,GIMS,GIMS,2:35
2025-03-06,SOIS PAS TIMIDE,GIMS,GIMS,2:45
2025-03-06,4 Kampé,Joé Dwèt Filé,Joé Dwèt Filé,3:34
2025-03-06,SPIDER,GIMS,GIMS,3:08
2025-03-06,APT.,ROSÉ,ROSÉ,2:49
2025-03-06,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-06,"Un jour, je l'aurai",Jul,Jul,3:46
2025-03-06,Chambre 04,Dj Kawest,Dj Kawest,2:09
2025-03-06,Feel Good,Charlotte Cardin,Charlotte Cardin,2:43
2025-03-06,POUR ELLE,SDM,SDM,2:59
2025-03-06,Sous la lune,Jul,Jul,2:51
2025-03-06,Ça parle mal,Bouss,Bouss,2:56
2025-03-06,Introspection,Lynda,Lynda,4:16
2025-03-06,Alpha,Damso,Damso,2:48
2025-03-06,Messy,Lola Young,Lola Young,4:44
2025-03-06,Capata (feat. FRANCÈ ZITO),Jul,Jul,3:20
