Date,Song Title,Artist,Album,Duration
2025-03-25,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-25,NOKIA,Drake,Drake,4:01
2025-03-25,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-25,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-03-25,APT.,ROSÉ,ROSÉ,2:49
2025-03-25,Love Attack,Small Axe,Small Axe,3:31
2025-03-25,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-25,Anxiety,Doechii,Doechii,4:09
2025-03-25,Only Jah Jah Knows,Kanaka Fyah,Kanaka Fyah,3:32
2025-03-25,MUTT (CB REMIX),Leon Thomas,Leon Thomas,3:19
2025-03-25,MUTT,Leon Thomas,Leon Thomas,3:13
2025-03-25,Sand In My Boots,High Watah,High Watah,3:15
2025-03-25,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-03-25,Back 2 My Roots,Rebel Souljahz,Rebel Souljahz,3:59
2025-03-25,Just In Case,Morgan Wallen,Morgan Wallen,2:46
2025-03-25,squabble up,Kendrick Lamar,Kendrick Lamar,2:37
2025-03-25,Every Night Every Morning,Maoli,Maoli,3:17
2025-03-25,I'm A Little Crazy,Morgan Wallen,Morgan Wallen,3:19
2025-03-25,Keeping Score,High Watah,High Watah,3:33
2025-03-25,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-25,Snooze,SZA,SZA,3:21
2025-03-25,Residuals,Chris Brown,Chris Brown,3:35
2025-03-25,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-25,Love Somebody,Morgan Wallen,Morgan Wallen,3:24
2025-03-25,Unwritten,Maoli,Maoli,3:51
