Date,Song Title,Artist,Album,Duration
2025-03-25,APT.,ROSÉ,ROSÉ,2:49
2025-03-25,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-25,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-25,Anxiety,Doechii,Doechii,4:09
2025-03-25,Ordinary,Alex Warren,Alex Warren,3:06
2025-03-25,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-25,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-25,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-25,NOKIA,Drake,Drake,4:01
2025-03-25,Messy,Lola Young,Lola Young,4:44
2025-03-25,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-25,like JENNIE,JENNIE,JENNIE,2:03
2025-03-25,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-25,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-03-25,Espresso,Sabrina Carpenter,Sabrina Carpenter,2:55
2025-03-25,Lose Control,Teddy Swims,Teddy Swims,3:30
2025-03-25,Sports car,Tate McRae,Tate McRae,2:45
2025-03-25,The Days (NOTION Remix),CHRYSTAL,CHRYSTAL,3:53
2025-03-25,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-25,MUTT (CB REMIX),Leon Thomas,Leon Thomas,3:19
2025-03-25,EVIL J0RDAN,Playboi Carti,Playboi Carti,3:03
2025-03-25,RATHER LIE,Playboi Carti,Playboi Carti,3:29
2025-03-25,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-25,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-03-25,Taste,Sabrina Carpenter,Sabrina Carpenter,2:37
