Date,Song Title,Artist,Album,Duration
2025-03-08,NOKIA,Drake,Drake,4:01
2025-03-08,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-08,Tell Me,Karan Aujla,Karan Aujla,3:06
2025-03-08,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-08,Police,Cheema Y,Cheema Y,2:21
2025-03-08,Young G.O.A.T,Cheema Y,Cheema Y,3:45
2025-03-08,Sports car,Tate McRae,Tate McRae,2:45
2025-03-08,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-08,DIE TRYING,PARTYNEXTDOOR,PARTYNEXTDOOR,3:15
2025-03-08,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-08,Vancouver,Cheema Y,Cheema Y,2:43
2025-03-08,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-03-08,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-08,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-08,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-03-08,Timeless,The Weeknd,The Weeknd,4:16
2025-03-08,APT.,ROSÉ,ROSÉ,2:49
2025-03-08,Wavy,Karan Aujla,Karan Aujla,2:41
2025-03-08,I Had Some Help (feat. Morgan Wallen),Post Malone,Post Malone,2:58
2025-03-08,Anxiety,Doechii,Doechii,4:09
2025-03-08,ANXIETY (feat. Doechii),Sleepy Hallow,Sleepy Hallow,2:28
2025-03-08,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-08,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-08,I'm The Problem,Morgan Wallen,Morgan Wallen,2:57
2025-03-08,Gears,Arjan Dhillon,Arjan Dhillon,2:30
