Date,Song Title,Artist,Album,Duration
2025-02-23,Nairobi,Marioo,Marioo,3:23
2025-02-23,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-02-23,Baby (Is It A Crime),Rema,Rema,2:44
2025-02-23,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-02-23,NOKIA,Drake,Drake,4:01
2025-02-23,GIMME A HUG,Drake,Drake,3:13
2025-02-23,Update,Burna Boy,Burna Boy,3:27
2025-02-23,Vuka (feat. Thukuthela),Oscar Mbo,Oscar Mbo,5:27
2025-02-23,Venus,Faceless,Faceless,2:19
2025-02-23,SOMEBODY LOVES ME,PARTYNEXTDOOR,PARTYNEXTDOOR,3:02
2025-02-23,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-02-23,All The Love,Ayra Starr,Ayra Starr,3:06
2025-02-23,Residuals,Chris Brown,Chris Brown,3:35
2025-02-23,WHY LOVE,Asake,Asake,3:30
2025-02-23,Joy is Coming,Fido,Fido,3:08
2025-02-23,"Biri Marung (feat. Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma & CowBoii)",Mr Pilato,Mr Pilato,7:34
2025-02-23,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-02-23,Sohlala Sisonke (feat. Zeh McGeba & MK Productions),Dlala Thukzin,Dlala Thukzin,5:27
2025-02-23,Olodumare,Joel Lwaga,Joel Lwaga,3:06
2025-02-23,Aki Sioni,Njerae,Njerae,3:03
2025-02-23,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-02-23,PITY THIS BOY,ODUMODUBLVCK,ODUMODUBLVCK,2:45
2025-02-23,MMS,Asake,Asake,3:39
2025-02-23,City Boys,Burna Boy,Burna Boy,2:33
2025-02-23,Timeless,The Weeknd,The Weeknd,4:16
