Date,Song Title,Artist,Album,Duration
2025-02-23,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-02-23,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-02-23,APT.,ROSÉ,ROSÉ,2:49
2025-02-23,Messy,Lola Young,Lola Young,4:44
2025-02-23,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-02-23,"ДОМ (Лондон, Прага, Ницца)",MORGENSHTERN,MORGENSHTERN,2:33
2025-02-23,ПОВОД,MORGENSHTERN,MORGENSHTERN,2:33
2025-02-23,Dom Nad Wodą,Pezet,Pezet,3:14
2025-02-23,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-02-23,São Paulo,The Weeknd,The Weeknd,5:01
2025-02-23,Timeless,The Weeknd,The Weeknd,4:16
2025-02-23,КРАСНЫЙ ФЛАГ,MORGENSHTERN,MORGENSHTERN,2:26
2025-02-23,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-02-23,Cry For Me,The Weeknd,The Weeknd,3:44
2025-02-23,KOCHASZ?,Sobel,Sobel,2:32
2025-02-23,Bad Dreams,Teddy Swims,Teddy Swims,3:04
2025-02-23,Revolving door,Tate McRae,Tate McRae,3:00
2025-02-23,CHIHIRO,Billie Eilish,Billie Eilish,5:03
2025-02-23,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
2025-02-23,не расслабляйся,Skryptonite,Skryptonite,2:44
2025-02-23,KIEROWNIK,Kizo,Kizo,2:52
2025-02-23,All The Stars,Kendrick Lamar,Kendrick Lamar,3:52
2025-02-23,Espresso,Sabrina Carpenter,Sabrina Carpenter,2:55
2025-02-23,Sports car,Tate McRae,Tate McRae,2:45
2025-02-23,300 BANIEK,Otsochodzi,Otsochodzi,2:37
