Date,Song Title,Artist,Album,Duration
2025-02-23,Balorda nostalgia,Olly,Olly,3:17
2025-02-23,LA CURA PER ME,Giorgia,Giorgia,3:35
2025-02-23,Incoscienti Giovani,Achille Lauro,Achille Lauro,3:24
2025-02-23,Volevo essere un duro,Lucio Corsi,Lucio Corsi,3:05
2025-02-23,BATTITO,Fedez,Fedez,3:14
2025-02-23,La Mia Parola (feat. Tormento),Shablo,Shablo,2:50
2025-02-23,Dimenticarsi alle 7,Elodie,Elodie,3:34
2025-02-23,La tana del granchio,Bresh,Bresh,3:29
2025-02-23,il ritmo delle cose.,Rkomi,Rkomi,3:12
2025-02-23,CUORICINI,Coma_Cose,Coma_Cose,3:14
2025-02-23,L'albero delle noci,Brunori Sas,Brunori Sas,3:56
2025-02-23,fuorilegge,Rose Villain,Rose Villain,3:41
2025-02-23,DAMME 'NA MANO,Tony Effe,Tony Effe,2:58
2025-02-23,ANEMA E CORE,Serena Brancale,Serena Brancale,2:46
2025-02-23,Lentamente,Irama,Irama,3:26
2025-02-23,CHIAMO IO CHIAMI TU,GAIA,GAIA,3:38
2025-02-23,Se t'innamori muori,Noemi,Noemi,3:10
2025-02-23,TU CON CHI FAI L'AMORE,The Kolors,The Kolors,3:27
2025-02-23,Amarcord,Sarah Toscano,Sarah Toscano,3:03
2025-02-23,Viva la vita,Francesco Gabbani,Francesco Gabbani,3:38
2025-02-23,Quando sarai piccola,Simone Cristicchi,Simone Cristicchi,3:06
2025-02-23,Grazie ma no grazie,Willie Peyote,Willie Peyote,3:25
2025-02-23,Devastante,Olly,Olly,3:10
2025-02-23,Non ti dimentico,Modà,Modà,3:25
2025-02-23,VERTEBRE,SETTEMBRE,SETTEMBRE,2:50
