Date,Song Title,Artist,Album,Duration
2025-02-24,ה' יברך אותך,Osher Cohen,Osher Cohen,3:45
2025-02-24,מאחל לך טוב,Osher Cohen,Osher Cohen,2:58
2025-02-24,גיטרה ולנשום,Osher Cohen,Osher Cohen,2:47
2025-02-24,בחיבק,תמר ריילי,תמר ריילי,2:27
2025-02-24,תהום,Omer Adam,Omer Adam,3:05
2025-02-24,את לא יודעת כמה שאני אוהב אותך,Odeya,Odeya,3:22
2025-02-24,טקילה,Omer Adam,Omer Adam,2:40
2025-02-24,אהובתי כבר לא רואה אותי,Omer Adam,Omer Adam,3:10
2025-02-24,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-02-24,עובד בכפר,Odeya,Odeya,3:02
2025-02-24,התקדמתי ממך,Itay Levy,Itay Levy,3:07
2025-02-24,סופרמן,Idan Amedi,Idan Amedi,4:48
2025-02-24,טאטע תטהר (גרסה אקוסטית),Yair Elaytzur,Yair Elaytzur,2:38
2025-02-24,לילות וקללות,Omer Adam,Omer Adam,3:24
2025-02-24,תן לי את האששש,Jasmin Moallem,Jasmin Moallem,2:47
2025-02-24,תמיד אוהב אותי,ששון איפרם שאולוב,ששון איפרם שאולוב,2:52
2025-02-24,רק שלך,Omer Adam,Omer Adam,3:54
2025-02-24,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-02-24,זזה עם הגוף,LifeSwisa,LifeSwisa,3:15
2025-02-24,DtMF,Bad Bunny,Bad Bunny,3:57
2025-02-24,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-02-24,לופ,Osher Cohen,Osher Cohen,2:43
2025-02-24,פלסטרים,Osher Cohen,Osher Cohen,2:58
2025-02-24,מה יהיה מחר,Peer Tasi,Peer Tasi,3:08
2025-02-24,לא לפנות אליי,Nasrin Kadri,Nasrin Kadri,2:46
