Date,Song Title,Artist,Album,Duration
2025-02-24,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-02-24,NOKIA,Drake,Drake,4:01
2025-02-24,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-02-24,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-02-24,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
2025-02-24,ExtraL,JENNIE,JENNIE,2:47
2025-02-24,Timeless,The Weeknd,The Weeknd,4:16
2025-02-24,DIE TRYING,PARTYNEXTDOOR,PARTYNEXTDOOR,3:15
2025-02-24,Cry For Me,The Weeknd,The Weeknd,3:44
2025-02-24,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-02-24,Revolving door,Tate McRae,Tate McRae,3:00
2025-02-24,LV Bag (feat. Pharrell Williams),Don Toliver,Don Toliver,3:02
2025-02-24,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-02-24,São Paulo,The Weeknd,The Weeknd,5:01
2025-02-24,APT.,ROSÉ,ROSÉ,2:49
2025-02-24,All The Stars,Kendrick Lamar,Kendrick Lamar,3:52
2025-02-24,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-02-24,CN TOWER,PARTYNEXTDOOR,PARTYNEXTDOOR,4:01
2025-02-24,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-02-24,Dear god,Tate McRae,Tate McRae,2:51
2025-02-24,Call Me When You Break Up,Selena Gomez,Selena Gomez,2:06
2025-02-24,Sports car,Tate McRae,Tate McRae,2:45
2025-02-24,Baptized In Fear,The Weeknd,The Weeknd,3:52
2025-02-24,Open Hearts,The Weeknd,The Weeknd,3:54
2025-02-24,Espresso,Sabrina Carpenter,Sabrina Carpenter,2:55
