Date,Song Title,Artist,Album,Duration
2025-03-03,NINAO,GIMS,GIMS,2:47
2025-03-03,Mood,KeBlack,KeBlack,2:51
2025-03-03,CIEL,GIMS,GIMS,3:06
2025-03-03,Carré OK (feat. GIMS),Soolking,Soolking,2:40
2025-03-03,La Pluie,Franglish,Franglish,3:56
2025-03-03,Pélican,L2B,L2B,2:45
2025-03-03,SOIS PAS TIMIDE,GIMS,GIMS,2:45
2025-03-03,Run,Rim'K,Rim'K,2:59
2025-03-03,DIANA,GIMS,GIMS,2:19
2025-03-03,BABY,GIMS,GIMS,2:35
2025-03-03,CARTIER SANTOS,SDM,SDM,3:03
2025-03-03,SPIDER,GIMS,GIMS,3:08
2025-03-03,APT.,ROSÉ,ROSÉ,2:49
2025-03-03,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-03,Feel Good,Charlotte Cardin,Charlotte Cardin,2:43
2025-03-03,Tacchini,Josas,Josas,2:36
2025-03-03,NANANI NANANA,Gazo,Gazo,3:37
2025-03-03,Sous la lune,Jul,Jul,2:51
2025-03-03,Messy,Lola Young,Lola Young,4:44
2025-03-03,Pichichi,Josas,Josas,2:58
2025-03-03,POUR ELLE,SDM,SDM,2:59
2025-03-03,"Un jour, je l'aurai",Jul,Jul,3:46
2025-03-03,4 Kampé,Joé Dwèt Filé,Joé Dwèt Filé,3:34
2025-03-03,OHMA TOKITA,GIMS,GIMS,2:15
2025-03-03,PERFORMANTE,Dinos,Dinos,3:26
