Date,Song Title,Artist,Album,Duration
2025-03-30,NOKIA,Drake,Drake,4:01
2025-03-30,BAILE INoLVIDABLE,Bad Bunny,Bad Bunny,6:07
2025-03-30,4 Kampé II,Joé Dwèt Filé,Joé Dwèt Filé,3:31
2025-03-30,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-30,VOY A LLeVARTE PA PR,Bad Bunny,Bad Bunny,2:36
2025-03-30,SOMEBODY LOVES ME,PARTYNEXTDOOR,PARTYNEXTDOOR,3:02
2025-03-30,twilight zone,Ariana Grande,Ariana Grande,3:18
2025-03-30,La Plena (W Sound 05),W Sound,W Sound,2:30
2025-03-30,Just In Case,Morgan Wallen,Morgan Wallen,2:46
2025-03-30,EVIL J0RDAN,Playboi Carti,Playboi Carti,3:03
2025-03-30,Vanish Mode,Lil Durk,Lil Durk,2:03
2025-03-30,RATHER LIE,Playboi Carti,Playboi Carti,3:29
2025-03-30,They Want To Be You (feat. Future),Lil Durk,Lil Durk,2:47
2025-03-30,I'm The Problem,Morgan Wallen,Morgan Wallen,2:57
2025-03-30,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-30,dandelion,Ariana Grande,Ariana Grande,3:24
2025-03-30,Love Somebody,Morgan Wallen,Morgan Wallen,3:24
2025-03-30,Shaking When I Pray,Lil Durk,Lil Durk,3:02
2025-03-30,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-30,GIMME A HUG,Drake,Drake,3:13
2025-03-30,Qué Pasaría...,Rauw Alejandro,Rauw Alejandro,3:11
2025-03-30,Ordinary,Alex Warren,Alex Warren,3:06
2025-03-30,sobelove,Beéle,Beéle,2:11
2025-03-30,Tití Me Preguntó,Bad Bunny,Bad Bunny,4:03
2025-03-30,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
