Date,Song Title,Artist,Album,Duration
2025-03-05,Laho,Shallipopi,Shallipopi,2:24
2025-03-05,What If? (Mngani),Yanga Chief,Yanga Chief,3:05
2025-03-05,NOKIA,Drake,Drake,4:01
2025-03-05,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-05,Ordinary,Alex Warren,Alex Warren,3:06
2025-03-05,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-05,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-05,Messy,Lola Young,Lola Young,4:44
2025-03-05,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-05,APT.,ROSÉ,ROSÉ,2:49
2025-03-05,ANXIETY (feat. Doechii),Sleepy Hallow,Sleepy Hallow,2:28
2025-03-05,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-05,Vuka (feat. Thukuthela),Oscar Mbo,Oscar Mbo,5:27
2025-03-05,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
2025-03-05,Sports car,Tate McRae,Tate McRae,2:45
2025-03-05,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-05,GIMME A HUG,Drake,Drake,3:13
2025-03-05,DIE TRYING,PARTYNEXTDOOR,PARTYNEXTDOOR,3:15
2025-03-05,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-05,Residuals,Chris Brown,Chris Brown,3:35
2025-03-05,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-03-05,Sorry I'm Here For Someone Else,Benson Boone,Benson Boone,2:36
2025-03-05,Timeless,The Weeknd,The Weeknd,4:16
2025-03-05,Show Me Love,WizTheMc,WizTheMc,2:56
2025-03-05,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
