Date,Song Title,Artist,Album,Duration
2025-03-11,Çatma Yarim,Reynmen,Reynmen,2:57
2025-03-11,Maziden,Afra,Afra,2:18
2025-03-11,SEVMEYİ DENEMEDİN,BLOK3,BLOK3,2:52
2025-03-11,BİTMİYOR,Ben Fero,Ben Fero,3:24
2025-03-11,Gözlerinden Gözlerine,Semicenk,Semicenk,2:56
2025-03-11,Mendil,Gülden,Gülden,3:34
2025-03-11,Sana Güvenmiyorum (Dedub Sessions),Dedublüman,Dedublüman,3:24
2025-03-11,HAVHAVHAV,Lvbel C5,Lvbel C5,2:06
2025-03-11,Ayaza Serdim,Kubilay Karça,Kubilay Karça,3:38
2025-03-11,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-11,Canın Beni Çekti,Melike Şahin,Melike Şahin,3:13
2025-03-11,Aldanırım,Sıla Şahin,Sıla Şahin,3:21
2025-03-11,Italy Forma,Ati242,Ati242,3:01
2025-03-11,Onlar Anlamaz Halden,Semicenk,Semicenk,2:54
2025-03-11,Önümüz Yaz,Simge,Simge,3:01
2025-03-11,ÇIKAR BİRİ KARŞIMA,Poizi,Poizi,2:47
2025-03-11,APT.,ROSÉ,ROSÉ,2:49
2025-03-11,DURULDUM,Era7capone,Era7capone,2:04
2025-03-11,Ellere Düş,Sedat Sayan,Sedat Sayan,3:45
2025-03-11,Neon,UZI,UZI,2:31
2025-03-11,KARANLIK,Yung Kafa & Kücük Efendi,Yung Kafa & Kücük Efendi,2:54
2025-03-11,São Paulo,The Weeknd,The Weeknd,5:01
2025-03-11,kAHpE,Lvbel C5,Lvbel C5,2:21
2025-03-11,Kufi,Duman,Duman,4:25
2025-03-11,HUQQA,Jeff Redd,Jeff Redd,2:07
