Date,Song Title,Artist,Album,Duration
2025-03-11,NOKIA,Drake,Drake,4:01
2025-03-11,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-11,SOMEBODY LOVES ME,PARTYNEXTDOOR,PARTYNEXTDOOR,3:02
2025-03-11,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-03-11,Proud Of Me,Fridayy,Fridayy,3:50
2025-03-11,Anxiety,Doechii,Doechii,4:09
2025-03-11,GIMME A HUG,Drake,Drake,3:13
2025-03-11,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-11,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-03-11,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-11,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-11,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-11,squabble up,Kendrick Lamar,Kendrick Lamar,2:37
2025-03-11,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-11,Timeless,The Weeknd,The Weeknd,4:16
2025-03-11,BAILE INoLVIDABLE,Bad Bunny,Bad Bunny,6:07
2025-03-11,Sports car,Tate McRae,Tate McRae,2:45
2025-03-11,Vanish Into You,Lady Gaga,Lady Gaga,4:04
2025-03-11,How Bad Do U Want Me,Lady Gaga,Lady Gaga,3:58
2025-03-11,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-11,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-11,MUTT,Leon Thomas,Leon Thomas,3:13
2025-03-11,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-11,Snooze,SZA,SZA,3:21
2025-03-11,Little Things,Ella Mai,Ella Mai,2:52
