Date,Song Title,Artist,Album,Duration
2025-03-11,I'm The Problem,Morgan Wallen,Morgan Wallen,2:57
2025-03-11,Smile,Morgan Wallen,Morgan Wallen,3:44
2025-03-11,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-11,Love Somebody,Morgan Wallen,Morgan Wallen,3:24
2025-03-11,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-11,Lies Lies Lies,Morgan Wallen,Morgan Wallen,3:18
2025-03-11,I Had Some Help (feat. Morgan Wallen),Post Malone,Post Malone,2:58
2025-03-11,I Never Lie,Zach Top,Zach Top,3:44
2025-03-11,Chasin' You,Morgan Wallen,Morgan Wallen,3:25
2025-03-11,Spin You Around (1/24),Morgan Wallen,Morgan Wallen,3:29
2025-03-11,NOKIA,Drake,Drake,4:01
2025-03-11,Cowgirls (feat. ERNEST),Morgan Wallen,Morgan Wallen,3:01
2025-03-11,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-03-11,Worst Way,Riley Green,Riley Green,3:40
2025-03-11,Last Night,Morgan Wallen,Morgan Wallen,2:43
2025-03-11,Anxiety,Doechii,Doechii,4:09
2025-03-11,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-11,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-11,Thinkin’ Bout Me,Morgan Wallen,Morgan Wallen,2:57
2025-03-11,Sports car,Tate McRae,Tate McRae,2:45
2025-03-11,Indigo (feat. Avery Anna),Sam Barber,Sam Barber,4:46
2025-03-11,Ms. Whitman,Bhad Bhabie,Bhad Bhabie,2:06
2025-03-11,Wasted On You,Morgan Wallen,Morgan Wallen,2:58
2025-03-11,Holy Ground,BigXthaPlug,BigXthaPlug,2:57
2025-03-11,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
