Date,Song Title,Artist,Album,Duration
2025-04-06,Ordinary,Alex Warren,Alex Warren,3:06
2025-04-06,APT.,ROSÉ,ROSÉ,2:49
2025-04-06,Azizam,Ed Sheeran,Ed Sheeran,2:42
2025-04-06,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-04-06,Anxiety,Doechii,Doechii,4:09
2025-04-06,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-04-06,Perfect,Ed Sheeran,Ed Sheeran,4:23
2025-04-06,Messy,Lola Young,Lola Young,4:44
2025-04-06,Levitating,Dua Lipa,Dua Lipa,3:23
2025-04-06,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-04-06,Shape of You,Ed Sheeran,Ed Sheeran,3:53
2025-04-06,Espresso,Sabrina Carpenter,Sabrina Carpenter,2:55
2025-04-06,New Rules,Dua Lipa,Dua Lipa,3:29
2025-04-06,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-04-06,Stargazing,Myles Smith,Myles Smith,2:52
2025-04-06,Lose Control,Teddy Swims,Teddy Swims,3:30
2025-04-06,Castle on the Hill,Ed Sheeran,Ed Sheeran,4:21
2025-04-06,Taste,Sabrina Carpenter,Sabrina Carpenter,2:37
2025-04-06,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-04-06,Baby Shark,Pinkfong,Pinkfong,1:36
2025-04-06,Counting Stars,OneRepublic,OneRepublic,4:17
2025-04-06,Bad Dreams,Teddy Swims,Teddy Swims,3:04
2025-04-06,Nice To Meet You,Myles Smith,Myles Smith,2:56
2025-04-06,The Giver,Chappell Roan,Chappell Roan,3:22
2025-04-06,you are my sunshine,Christina Perri,Christina Perri,1:22
