Date,Song Title,Artist,Album,Duration
2025-03-09,Lilac,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:48
2025-03-09,Darling,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:40
2025-03-09,Soranji,Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:44
2025-03-09,APT.,ROSÉ,ROSÉ,2:49
2025-03-09,Que Sera Sera,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:32
2025-03-09,Kaiju,sakanaction,sakanaction,4:12
2025-03-09,Rock This Party,timelesz,timelesz,3:45
2025-03-09,Bokuno Koto,Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:21
2025-03-09,Bitter Vacances,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:18
2025-03-09,Miss Luxury,YZERR,YZERR,4:33
2025-03-09,Ao To Natsu,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:30
2025-03-09,Can't we just be cute? -Kawaii Dakejya Damedesuka?,CUTIE STREET,CUTIE STREET,4:11
2025-03-09,Kaiju no Hanauta,VAUNDY,VAUNDY,3:44
2025-03-09,Tenbyouno Uta (feat. Sonoko Inoue),Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:07
2025-03-09,Ikuokukonen,Omoinotake,Omoinotake,4:36
2025-03-09,Run,timelesz,timelesz,3:55
2025-03-09,Dance Hall,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:23
2025-03-09,Magic,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:23
2025-03-09,familie,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:42
2025-03-09,BOW AND ARROW,Kenshi Yonezu,Kenshi Yonezu,2:55
2025-03-09,Bling-Bang-Bang-Born,Creepy Nuts,Creepy Nuts,2:48
2025-03-09,Gyutto,timelesz,timelesz,3:40
2025-03-09,Otonoke,Creepy Nuts,Creepy Nuts,3:05
2025-03-09,Fujin,VAUNDY,VAUNDY,3:55
2025-03-09,Start,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:31
