Date,Song Title,Artist,Album,Duration
2025-03-09,Afsos,Anuv Jain,Anuv Jain,3:11
2025-03-09,Ishq Hai,Anurag Saikia,Anurag Saikia,5:12
2025-03-09,Jhol,Maanu,Maanu,4:25
2025-03-09,Cry For Me,The Weeknd,The Weeknd,3:44
2025-03-09,"Raanjhan (From ""Do Patti"")",Sachet-Parampara,Sachet-Parampara,4:00
2025-03-09,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-09,"Apna Bana Le (From ""Bhediya"")",Arijit Singh,Arijit Singh,4:21
2025-03-09,YEDA YUNG,YUNG DSA,YUNG DSA,2:39
2025-03-09,Wavy,Karan Aujla,Karan Aujla,2:41
2025-03-09,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-09,Timeless,The Weeknd,The Weeknd,4:16
2025-03-09,"Ishq Mein (From ""Nadaaniyan"")",Sachin-Jigar,Sachin-Jigar,4:22
2025-03-09,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-09,"Aaya Re Toofan (From ""Chhaava"")",A.R. Rahman,A.R. Rahman,4:39
2025-03-09,Millionaire,Yo Yo Honey Singh,Yo Yo Honey Singh,3:19
2025-03-09,Hawayein,Pritam,Pritam,4:50
2025-03-09,Tainu Khabar Nahi,Sachin-Jigar,Sachin-Jigar,3:08
2025-03-09,Jo Tum Mere Ho,Anuv Jain,Anuv Jain,4:11
2025-03-09,Follow You,Noizy,Noizy,2:44
2025-03-09,Khuda Jaane,Vishal & Shekhar,Vishal & Shekhar,5:37
2025-03-09,São Paulo,The Weeknd,The Weeknd,5:01
2025-03-09,Tum Se Hi,Pritam,Pritam,5:21
2025-03-09,Akhiyaan Gulaab,Mitraz,Mitraz,2:51
2025-03-09,APT.,ROSÉ,ROSÉ,2:49
2025-03-09,Tujhe Kitna Chahne Lage,Arijit Singh,Arijit Singh,4:44
