Date,Song Title,Artist,Album,Duration
2025-03-09,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-09,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-09,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-09,APT.,ROSÉ,ROSÉ,2:49
2025-03-09,Vanish Into You,Lady Gaga,Lady Gaga,4:04
2025-03-09,Sports car,Tate McRae,Tate McRae,2:45
2025-03-09,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-09,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-09,Anxiety,Doechii,Doechii,4:09
2025-03-09,Garden Of Eden,Lady Gaga,Lady Gaga,3:59
2025-03-09,ANXIETY (feat. Doechii),Sleepy Hallow,Sleepy Hallow,2:28
2025-03-09,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-03-09,Messy,Lola Young,Lola Young,4:44
2025-03-09,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-09,NOKIA,Drake,Drake,4:01
2025-03-09,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-09,Feel Good,Charlotte Cardin,Charlotte Cardin,2:43
2025-03-09,Timeless,The Weeknd,The Weeknd,4:16
2025-03-09,I Had Some Help (feat. Morgan Wallen),Post Malone,Post Malone,2:58
2025-03-09,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
2025-03-09,Sailor Song,Gigi Perez,Gigi Perez,3:31
2025-03-09,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-09,It's ok I'm ok,Tate McRae,Tate McRae,2:36
2025-03-09,Show Me Love,WizTheMc,WizTheMc,2:56
2025-03-09,Sorry I'm Here For Someone Else,Benson Boone,Benson Boone,2:36
