Date,Song Title,Artist,Album,Duration
2025-04-17,Ordinary,Alex Warren,Alex Warren,3:06
2025-04-17,NOKIA,Drake,Drake,4:01
2025-04-17,Just In Case,Morgan Wallen,Morgan Wallen,2:46
2025-04-17,All The Way,BigXthaPlug,BigXthaPlug,2:45
2025-04-17,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-04-17,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-04-17,I'm The Problem,Morgan Wallen,Morgan Wallen,2:57
2025-04-17,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-04-17,Love Somebody,Morgan Wallen,Morgan Wallen,3:24
2025-04-17,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-04-17,APT.,ROSÉ,ROSÉ,2:49
2025-04-17,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-04-17,I Had Some Help (feat. Morgan Wallen),Post Malone,Post Malone,2:58
2025-04-17,I'm A Little Crazy,Morgan Wallen,Morgan Wallen,3:19
2025-04-17,Sports car,Tate McRae,Tate McRae,2:45
2025-04-17,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-04-17,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-04-17,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-04-17,Show Me Love,WizTheMc,WizTheMc,2:56
2025-04-17,Revolving door,Tate McRae,Tate McRae,3:00
2025-04-17,Last Night,Morgan Wallen,Morgan Wallen,2:43
2025-04-17,Messy,Lola Young,Lola Young,4:44
2025-04-17,Anxiety,Doechii,Doechii,4:09
2025-04-17,Sailor Song,Gigi Perez,Gigi Perez,3:31
2025-04-17,Lose Control,Teddy Swims,Teddy Swims,3:30
