Date,Song Title,Artist,Album,Duration
2025-04-17,KUSUSHIKI,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:08
2025-04-17,ROSE,HANA,HANA,2:44
2025-04-17,Lilac,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:48
2025-04-17,Darling,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:40
2025-04-17,Puzzle,Shota Shimizu,Shota Shimizu,4:36
2025-04-17,Soranji,Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:44
2025-04-17,Que Sera Sera,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:32
2025-04-17,Kaiju,sakanaction,sakanaction,4:12
2025-04-17,APT.,ROSÉ,ROSÉ,2:49
2025-04-17,Almond Chocolate,ILLIT,ILLIT,3:21
2025-04-17,Kaiju no Hanauta,VAUNDY,VAUNDY,3:44
2025-04-17,Bokuno Koto,Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:21
2025-04-17,Drop,HANA,HANA,2:28
2025-04-17,Ao To Natsu,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:30
2025-04-17,Bitter Vacances,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:18
2025-04-17,Tenbyouno Uta (feat. Sonoko Inoue),Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:07
2025-04-17,Dance Hall,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:23
2025-04-17,Ikuokukonen,Omoinotake,Omoinotake,4:36
2025-04-17,like JENNIE,JENNIE,JENNIE,2:03
2025-04-17,Magic,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:23
2025-04-17,Miss Luxury,YZERR,YZERR,4:33
2025-04-17,familie,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:42
2025-04-17,Can't we just be cute? -Kawaii Dakejya Damedesuka?,CUTIE STREET,CUTIE STREET,4:11
2025-04-17,Start,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:31
2025-04-17,BOW AND ARROW,Kenshi Yonezu,Kenshi Yonezu,2:55
