Date,Song Title,Artist,Album,Duration
2025-04-17,La Plena (W Sound 05),W Sound,W Sound,2:30
2025-04-17,capaz (merengueton),Alleh,Alleh,2:53
2025-04-17,BAILE INoLVIDABLE,Bad Bunny,Bad Bunny,6:07
2025-04-17,Mi Refe,Beéle,Beéle,2:39
2025-04-17,FLIPA,JC Reyes,JC Reyes,2:55
2025-04-17,Still Luvin,Delaossa,Delaossa,4:06
2025-04-17,VOY A LLeVARTE PA PR,Bad Bunny,Bad Bunny,2:36
2025-04-17,NUEVAYoL,Bad Bunny,Bad Bunny,3:03
2025-04-17,Si Antes Te Hubiera Conocido,KAROL G,KAROL G,3:15
2025-04-17,Solcito,Miguel Bueno,Miguel Bueno,2:24
2025-04-17,sobelove,Beéle,Beéle,2:11
2025-04-17,APT.,ROSÉ,ROSÉ,2:49
2025-04-17,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-04-17,Qué Pasaría...,Rauw Alejandro,Rauw Alejandro,3:11
2025-04-17,Carita Linda,Rauw Alejandro,Rauw Alejandro,3:23
2025-04-17,Romeo y Julieta,Eladio Carrión,Eladio Carrión,3:26
2025-04-17,blackout 🧊,Emilia,Emilia,3:02
2025-04-17,Orilla,8belial,8belial,3:13
2025-04-17,GRAN VÍA,Quevedo,Quevedo,3:33
2025-04-17,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-04-17,Tití Me Preguntó,Bad Bunny,Bad Bunny,4:03
2025-04-17,Ordinary,Alex Warren,Alex Warren,3:06
2025-04-17,NINFO,JC Reyes,JC Reyes,3:04
2025-04-17,SIN AUTOTUNE,Lola Índigo,Lola Índigo,2:41
2025-04-17,Sexo Seguro (feat. Yandel),"Franco ""El Gorilla""","Franco ""El Gorilla""",3:38
