Date,Song Title,Artist,Album,Duration
2025-03-31,Just In Case,Morgan Wallen,Morgan Wallen,2:46
2025-03-31,I'm A Little Crazy,Morgan Wallen,Morgan Wallen,3:19
2025-03-31,I'm The Problem,Morgan Wallen,Morgan Wallen,2:57
2025-03-31,Ordinary,Alex Warren,Alex Warren,3:06
2025-03-31,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-31,Love Somebody,Morgan Wallen,Morgan Wallen,3:24
2025-03-31,NOKIA,Drake,Drake,4:01
2025-03-31,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-03-31,I Had Some Help (feat. Morgan Wallen),Post Malone,Post Malone,2:58
2025-03-31,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-31,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-31,Lies Lies Lies,Morgan Wallen,Morgan Wallen,3:18
2025-03-31,Smile,Morgan Wallen,Morgan Wallen,3:44
2025-03-31,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-31,Sports car,Tate McRae,Tate McRae,2:45
2025-03-31,Worst Way,Riley Green,Riley Green,3:40
2025-03-31,Miles On It,Marshmello,Marshmello,2:48
2025-03-31,I Never Lie,Zach Top,Zach Top,3:44
2025-03-31,Last Night,Morgan Wallen,Morgan Wallen,2:43
2025-03-31,APT.,ROSÉ,ROSÉ,2:49
2025-03-31,Indigo (feat. Avery Anna),Sam Barber,Sam Barber,4:46
2025-03-31,Ain't No Love In Oklahoma,Luke Combs,Luke Combs,3:30
2025-03-31,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-31,Anxiety,Doechii,Doechii,4:09
2025-03-31,Pink Skies,Zach Bryan,Zach Bryan,3:14
