Date,Song Title,Artist,Album,Duration
2025-02-28,NINAO,GIMS,GIMS,2:47
2025-02-28,CIEL,GIMS,GIMS,3:06
2025-02-28,Pélican,L2B,L2B,2:45
2025-02-28,Feel Good,Charlotte Cardin,Charlotte Cardin,2:43
2025-02-28,APT.,ROSÉ,ROSÉ,2:49
2025-02-28,La Pluie,Franglish,Franglish,3:56
2025-02-28,DtMF,Bad Bunny,Bad Bunny,3:57
2025-02-28,4 Kampé,Joé Dwèt Filé,Joé Dwèt Filé,3:34
2025-02-28,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-02-28,Chambre 04,Dj Kawest,Dj Kawest,2:09
2025-02-28,BABY,GIMS,GIMS,2:35
2025-02-28,CARTIER SANTOS,SDM,SDM,3:03
2025-02-28,DIANA,GIMS,GIMS,2:19
2025-02-28,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-02-28,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-02-28,SOIS PAS TIMIDE,GIMS,GIMS,2:45
2025-02-28,Messy,Lola Young,Lola Young,4:44
2025-02-28,SPIDER,GIMS,GIMS,3:08
2025-02-28,Cry For Me,The Weeknd,The Weeknd,3:44
2025-02-28,Run,Rim'K,Rim'K,2:59
2025-02-28,Alpha,Damso,Damso,2:48
2025-02-28,Carré OK (feat. GIMS),Soolking,Soolking,2:40
2025-02-28,NANANI NANANA,Gazo,Gazo,3:37
2025-02-28,NUEVAYoL,Bad Bunny,Bad Bunny,3:03
2025-02-28,Si Antes Te Hubiera Conocido,KAROL G,KAROL G,3:15
