Date,Song Title,Artist,Album,Duration
2025-03-20,WHY LOVE,Asake,Asake,3:30
2025-03-20,SHAOLIN,Seyi Vibez,Seyi Vibez,2:20
2025-03-20,Trenches Luv,T.I BLAZE,T.I BLAZE,3:25
2025-03-20,Na Scra,Famous PLuto,Famous PLuto,2:30
2025-03-20,MARIO KART,Seyi Vibez,Seyi Vibez,2:51
2025-03-20,Arike,Kunmie,Kunmie,2:04
2025-03-20,New Taker,Rybeena,Rybeena,2:38
2025-03-20,Laho,Shallipopi,Shallipopi,2:24
2025-03-20,HAPPY SONG,Seyi Vibez,Seyi Vibez,1:59
2025-03-20,Baby (Is It A Crime),Rema,Rema,2:44
2025-03-20,Be There Still,Davido,Davido,3:15
2025-03-20,PITY THIS BOY,ODUMODUBLVCK,ODUMODUBLVCK,2:45
2025-03-20,Update,Burna Boy,Burna Boy,3:27
2025-03-20,"W For Wetego (feat. Phyno, Young Jonn & DJ 808)",Blaqbonez,Blaqbonez,3:37
2025-03-20,MMS,Asake,Asake,3:39
2025-03-20,Venus,Faceless,Faceless,2:19
2025-03-20,Panic,Ayo Maff,Ayo Maff,2:32
2025-03-20,Only Fans,Young Jonn,Young Jonn,2:29
2025-03-20,Funds (feat. ODUMODUBLVCK & Chike),Davido,Davido,3:26
2025-03-20,who does that? (feat. Bella Shmurda),FOLA,FOLA,2:39
2025-03-20,Pidgin & English,BNXN,BNXN,3:38
2025-03-20,World Best - Single,Rybeena,Rybeena,2:17
2025-03-20,Joy is Coming,Fido,Fido,3:08
2025-03-20,Intro (Going),Tml Vibez,Tml Vibez,3:20
2025-03-20,Beamer,T.I BLAZE,T.I BLAZE,2:46
