Date,Song Title,Artist,Album,Duration
2025-03-20,PONTE LOKITA,Katteyes,Katteyes,3:03
2025-03-20,La Verdad,Kidd Voodoo,Kidd Voodoo,4:56
2025-03-20,WHISKY A LA ROCA,Kidd Voodoo,Kidd Voodoo,2:39
2025-03-20,BELLAQUERA (feat. Jere Klein),Julianno Sosa,Julianno Sosa,3:19
2025-03-20,BAILE INoLVIDABLE,Bad Bunny,Bad Bunny,6:07
2025-03-20,Confortas Pero Dañas,Kidd Voodoo,Kidd Voodoo,4:09
2025-03-20,VeLDÁ,Bad Bunny,Bad Bunny,3:55
2025-03-20,VOY A LLeVARTE PA PR,Bad Bunny,Bad Bunny,2:36
2025-03-20,La Plena (W Sound 05),W Sound,W Sound,2:30
2025-03-20,Madrid,Kidd Voodoo,Kidd Voodoo,3:47
2025-03-20,SATIROLOGÍA,Kidd Voodoo,Kidd Voodoo,2:34
2025-03-20,Mi Refe,Beéle,Beéle,2:39
2025-03-20,BANSHEE,FloyyMenor,FloyyMenor,3:07
2025-03-20,Corazones <3,Kidd Voodoo,Kidd Voodoo,2:41
2025-03-20,Tiene,Tobal Mj,Tobal Mj,3:45
2025-03-20,Del Lune Al Finde,ITHAN NY,ITHAN NY,2:50
2025-03-20,Daytona,Cris MJ,Cris MJ,2:53
2025-03-20,Qué Pasaría...,Rauw Alejandro,Rauw Alejandro,3:11
2025-03-20,Después De La 1,Cris MJ,Cris MJ,2:57
2025-03-20,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-20,ÉLITE,Cris MJ,Cris MJ,2:30
2025-03-20,capaz (merengueton),Alleh,Alleh,2:53
2025-03-20,Moscow Mule,Bad Bunny,Bad Bunny,4:05
2025-03-20,TE CANTO BAJITO,Blessd,Blessd,2:58
2025-03-20,La Santa,Bad Bunny,Bad Bunny,3:26
