Date,Song Title,Artist,Album,Duration
2025-03-01,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-01,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-01,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-01,Messy,Lola Young,Lola Young,4:44
2025-03-01,APT.,ROSÉ,ROSÉ,2:49
2025-03-01,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-01,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-01,Sports car,Tate McRae,Tate McRae,2:45
2025-03-01,Ordinary,Alex Warren,Alex Warren,3:06
2025-03-01,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-01,Busy Woman,Sabrina Carpenter,Sabrina Carpenter,3:06
2025-03-01,Taste,Sabrina Carpenter,Sabrina Carpenter,2:37
2025-03-01,People Watching,Sam Fender,Sam Fender,5:04
2025-03-01,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-01,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-01,"Good Luck, Babe!",Chappell Roan,Chappell Roan,3:38
2025-03-01,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-03-01,The Days (NOTION Remix),CHRYSTAL,CHRYSTAL,3:53
2025-03-01,Somedays,Sonny Fodera,Sonny Fodera,3:27
2025-03-01,Espresso,Sabrina Carpenter,Sabrina Carpenter,2:55
2025-03-01,Little Bit Closer,Sam Fender,Sam Fender,3:54
2025-03-01,Arm's Length,Sam Fender,Sam Fender,3:59
2025-03-01,Sailor Song,Gigi Perez,Gigi Perez,3:31
2025-03-01,Nice To Meet You,Myles Smith,Myles Smith,2:56
2025-03-01,luther,Kendrick Lamar,Kendrick Lamar,2:57
