Date,Song Title,Artist,Album,Duration
2025-02-27,Balorda nostalgia,Olly,Olly,3:17
2025-02-27,LA CURA PER ME,Giorgia,Giorgia,3:35
2025-02-27,Incoscienti Giovani,Achille Lauro,Achille Lauro,3:24
2025-02-27,BATTITO,Fedez,Fedez,3:14
2025-02-27,ANEMA E CORE,Serena Brancale,Serena Brancale,2:46
2025-02-27,Dimenticarsi alle 7,Elodie,Elodie,3:34
2025-02-27,Volevo essere un duro,Lucio Corsi,Lucio Corsi,3:05
2025-02-27,La Mia Parola (feat. Tormento),Shablo,Shablo,2:50
2025-02-27,CHIAMO IO CHIAMI TU,GAIA,GAIA,3:38
2025-02-27,TU CON CHI FAI L'AMORE,The Kolors,The Kolors,3:27
2025-02-27,il ritmo delle cose.,Rkomi,Rkomi,3:12
2025-02-27,L'albero delle noci,Brunori Sas,Brunori Sas,3:56
2025-02-27,Lentamente,Irama,Irama,3:26
2025-02-27,fuorilegge,Rose Villain,Rose Villain,3:41
2025-02-27,CUORICINI,Coma_Cose,Coma_Cose,3:14
2025-02-27,Amarcord,Sarah Toscano,Sarah Toscano,3:03
2025-02-27,"PEZZI DA NOVANTA (feat. MV Killa, Yung Snapp, Lele Blade, Vale Lambo, Frezza)",SLF,SLF,3:14
2025-02-27,La tana del granchio,Bresh,Bresh,3:29
2025-02-27,DAMME 'NA MANO,Tony Effe,Tony Effe,2:58
2025-02-27,Se t'innamori muori,Noemi,Noemi,3:10
2025-02-27,MILLE VOTE ANCORA,Rocco Hunt,Rocco Hunt,3:12
2025-02-27,VERTEBRE,SETTEMBRE,SETTEMBRE,2:50
2025-02-27,Eco,Joan Thiele,Joan Thiele,3:14
2025-02-27,Grazie ma no grazie,Willie Peyote,Willie Peyote,3:25
2025-02-27,DtMF,Bad Bunny,Bad Bunny,3:57
