Date,Song Title,Artist,Album,Duration
2025-04-07,NOKIA,Drake,Drake,4:01
2025-04-07,ME JALO,Fuerza Regida,Fuerza Regida,3:32
2025-04-07,Te Quería Ver,Alemán,Alemán,2:56
2025-04-07,Loco,Neton Vega,Neton Vega,3:06
2025-04-07,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-04-07,Por Esos Ojos,Fuerza Regida,Fuerza Regida,3:08
2025-04-07,Morena,Neton Vega,Neton Vega,3:13
2025-04-07,NADIE,Tito Double P,Tito Double P,3:17
2025-04-07,DOS DÍAS,Tito Double P,Tito Double P,2:33
2025-04-07,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-04-07,TATTOO,Tito Double P,Tito Double P,2:47
2025-04-07,Ojos Tristes,Selena Gomez,Selena Gomez,3:21
2025-04-07,7 Días,Gabito Ballesteros,Gabito Ballesteros,3:00
2025-04-07,Tu Boda,Óscar Maydon,Óscar Maydon,3:45
2025-04-07,squabble up,Kendrick Lamar,Kendrick Lamar,2:37
2025-04-07,RATHER LIE,Playboi Carti,Playboi Carti,3:29
2025-04-07,DtMF,Bad Bunny,Bad Bunny,3:57
2025-04-07,LA PATRULLA,Peso Pluma,Peso Pluma,2:10
2025-04-07,RUBICON,Peso Pluma,Peso Pluma,3:58
2025-04-07,M&M,Neton Vega,Neton Vega,2:46
2025-04-07,El Mayor de los Ranas,Victor Valverde,Victor Valverde,2:52
2025-04-07,Back To Me,The Marías,The Marías,3:34
2025-04-07,TU TU TU,Clave Especial,Clave Especial,2:31
2025-04-07,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-04-07,Nobody New,The Marías,The Marías,3:35
