Date,Song Title,Artist,Album,Duration
2025-03-13,Lilac,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:48
2025-03-13,Kaiju,sakanaction,sakanaction,4:12
2025-03-13,Darling,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:40
2025-03-13,HEART,King & Prince,King & Prince,3:48
2025-03-13,Soranji,Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:44
2025-03-13,BOW AND ARROW,Kenshi Yonezu,Kenshi Yonezu,2:55
2025-03-13,APT.,ROSÉ,ROSÉ,2:49
2025-03-13,Que Sera Sera,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:32
2025-03-13,YELLOW,TREASURE,TREASURE,3:11
2025-03-13,Bokuno Koto,Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:21
2025-03-13,Can't we just be cute? -Kawaii Dakejya Damedesuka?,CUTIE STREET,CUTIE STREET,4:11
2025-03-13,Rock This Party,timelesz,timelesz,3:45
2025-03-13,Tenbyouno Uta (feat. Sonoko Inoue),Mrs. GREEN APPLE,Mrs. GREEN APPLE,5:07
2025-03-13,Bitter Vacances,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:18
2025-03-13,Whiplash,aespa,aespa,3:03
2025-03-13,Kaiju no Hanauta,VAUNDY,VAUNDY,3:44
2025-03-13,Start,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:31
2025-03-13,Ao To Natsu,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:30
2025-03-13,IS THIS LOVE,XG,XG,2:35
2025-03-13,masshiro (pure white),Fujii Kaze,Fujii Kaze,4:54
2025-03-13,Michi Teyu Ku (Overflowing),Fujii Kaze,Fujii Kaze,5:10
2025-03-13,Dance Hall,Mrs. GREEN APPLE,Mrs. GREEN APPLE,3:23
2025-03-13,Miss Luxury,YZERR,YZERR,4:33
2025-03-13,Ikuokukonen,Omoinotake,Omoinotake,4:36
2025-03-13,Magic,Mrs. GREEN APPLE,Mrs. GREEN APPLE,4:23
