Date,Song Title,Artist,Album,Duration
2025-03-13,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-13,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-13,NOKIA,Drake,Drake,4:01
2025-03-13,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-03-13,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-13,Anxiety,Doechii,Doechii,4:09
2025-03-13,squabble up,Kendrick Lamar,Kendrick Lamar,2:37
2025-03-13,Pink Pony Club,Chappell Roan,Chappell Roan,4:18
2025-03-13,Abracadabra,Lady Gaga,Lady Gaga,3:43
2025-03-13,Ordinary,Alex Warren,Alex Warren,3:06
2025-03-13,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-03-13,I'm The Problem,Morgan Wallen,Morgan Wallen,2:57
2025-03-13,Beautiful Things,Benson Boone,Benson Boone,3:00
2025-03-13,I Had Some Help (feat. Morgan Wallen),Post Malone,Post Malone,2:58
2025-03-13,A Bar Song (Tipsy),Shaboozey,Shaboozey,2:51
2025-03-13,BIRDS OF A FEATHER,Billie Eilish,Billie Eilish,3:30
2025-03-13,WILDFLOWER,Billie Eilish,Billie Eilish,4:21
2025-03-13,APT.,ROSÉ,ROSÉ,2:49
2025-03-13,Timeless,The Weeknd,The Weeknd,4:16
2025-03-13,Sports car,Tate McRae,Tate McRae,2:45
2025-03-13,DIE TRYING,PARTYNEXTDOOR,PARTYNEXTDOOR,3:15
2025-03-13,Vanish Into You,Lady Gaga,Lady Gaga,4:04
2025-03-13,Revolving door,Tate McRae,Tate McRae,3:00
2025-03-13,Lose Control,Teddy Swims,Teddy Swims,3:30
2025-03-13,Love Somebody,Morgan Wallen,Morgan Wallen,3:24
